translation,reference,source,translation_clean,reference_clean,source_clean
 Great players from the 40's,Three teammates in action in a grass field.,Três colegas de equipe na ação em um campo de grama., great players from the 40 s,three teammates in action in a grass field ,três colegas de equipe na ação em um campo de grama 
 What will be the time here?,How long will you be here?,Qual será o tempo aqui?, what will be the time here ,how long will you be here ,qual será o tempo aqui 
 I will explain this in class today.,I will explain this in class today.,Eu irei explicar isso na classe hoje., i will explain this in class today ,i will explain this in class today ,eu irei explicar isso na classe hoje 
 This person is on the side of a mountain.,This person is climbing the side of a mountain.,Esta pessoa está escalando o lado de uma montanha., this person is on the side of a mountain ,this person is climbing the side of a mountain ,esta pessoa está escalando o lado de uma montanha 
 Do you think that Steve would leave you a hand?,Do you think Steven would have allowed you to keep this?,Você acha que Steven teria deixado você manter isso?, do you think that steve would leave you a hand ,do you think steven would have allowed you to keep this ,você acha que steven teria deixado você manter isso 
 Fortunately... my dream is that you guys just passed me on theomnia that may not happen but?,Unfortunately! My dream of becoming a squirrel whisperer may never happen.,Infelizmente! meu sonho de se tornar um sussurro de esquilo pode nunca acontecer., fortunately my dream is that you guys just passed me on theomnia that may not happen but ,unfortunately my dream of becoming a squirrel whisperer may never happen ,infelizmente meu sonho de se tornar um sussurro de esquilo pode nunca acontecer 
" At same time Kaoka relovin,",Even Wenchuang has to add new elements.,Até mesmo Wenchuang tem que colocar novos elementos., at same time kaoka relovin ,even wenchuang has to add new elements ,até mesmo wenchuang tem que colocar novos elementos 
 It is constantly breaking.,Constantly fighting.,Estar constantemente brigando, it is constantly breaking ,constantly fighting ,estar constantemente brigando
 Simeis the sauce in mayo and throughout the year you will have it.,Plant parsley in May and you will have it throughout the year.,Semeie a salsa em maio e durante todo o ano você a terá., simeis the sauce in mayo and throughout the year you will have it ,plant parsley in may and you will have it throughout the year ,semeie a salsa em maio e durante todo o ano você a terá 
 I'm so happy,I'm so happy.,Eu estou tão feliz., i m so happy,i m so happy ,eu estou tão feliz 
" Please, frustrating",Please postman.,Por favor carteiro, please frustrating,please postman ,por favor carteiro
 A man looks at a pile of trucks loaded without a vehicle.,A man looks to a pile of melons being carried by a vehicle.,Um homem olha para uma pilha de melões carregados em um veículo, a man looks at a pile of trucks loaded without a vehicle ,a man looks to a pile of melons being carried by a vehicle ,um homem olha para uma pilha de melões carregados em um veículo
" Replace a table in Big City, Burrito, in Tower City.",Book a table at the Big City Burrito in Tower City.,reservar uma mesa em Big City Burrito em Tower City, replace a table in big city burrito in tower city ,book a table at the big city burrito in tower city ,reservar uma mesa em big city burrito em tower city
 The four music are preparing to play their instruments.,The four musicians are getting ready to play their instruments.,Os quatro músicos estão se preparando para tocar seus instrumentos., the four music are preparing to play their instruments ,the four musicians are getting ready to play their instruments ,os quatro músicos estão se preparando para tocar seus instrumentos 
 Two men who design a knee joint on the side of the concrete.,Two girls draw sailboats with chalk on the side of the concrete.,Duas meninas que desenham veleiros com giz no lado do concreto., two men who design a knee joint on the side of the concrete ,two girls draw sailboats with chalk on the side of the concrete ,duas meninas que desenham veleiros com giz no lado do concreto 
 A Indian family is united in a body of water looking out.,An Indian family is united in a waterbody looking out of it.,Uma família indiana está unida em um corpo de água olhando para fora., a indian family is united in a body of water looking out ,an indian family is united in a waterbody looking out of it ,uma família indiana está unida em um corpo de água olhando para fora 
" During the entrance tests, all candidates will have access to the guests.","During the tests, all candidates will have access to the locker rooms.","Durante os testes de entrada, todos os candidatos terão acesso aos vestiários.", during the entrance tests all candidates will have access to the guests ,during the tests all candidates will have access to the locker rooms ,durante os testes de entrada todos os candidatos terão acesso aos vestiários 
 Who created the universe?,Who created the universe?,Quem criou o universo?, who created the universe ,who created the universe ,quem criou o universo 
 Sometimes you need money.,Sometimes I need money.,Às vezes preciso de dinheiro, sometimes you need money ,sometimes i need money ,às vezes preciso de dinheiro
 Then we break up in one night...,So we broke it in one night.,Então nós quebramos em uma noite., then we break up in one night ,so we broke it in one night ,então nós quebramos em uma noite 
 Just press and get here.,Hurry up and get here.,Apenas se apresse e chegue aqui., just press and get here ,hurry up and get here ,apenas se apresse e chegue aqui 
 The woman is posing to a drop cyclic acid.,The woman is posing in high heels on a rusty ladder.,A mulher está posando de salto alto em uma escada enferrujada, the woman is posing to a drop cyclic acid ,the woman is posing in high heels on a rusty ladder ,a mulher está posando de salto alto em uma escada enferrujada
 Men can hardly remove the power of their permanently lost life.,A man paddling a kayak along the river's edge.,Um homem que rema um caiaque ao longo da costa de um rio., men can hardly remove the power of their permanently lost life ,a man paddling a kayak along the river s edge ,um homem que rema um caiaque ao longo da costa de um rio 
 It's just that it's never active.,It's just that I never had.,É só que nunca tive., it s just that it s never active ,it s just that i never had ,é só que nunca tive 
 how many waited for us at the den casino Vimio,Play while we wait for Sippie Wallace on Vimeo.,Tocar Enquanto esperávamos por Sippie Wallace no Vimeo, how many waited for us at the den casino vimio,play while we wait for sippie wallace on vimeo ,tocar enquanto esperávamos por sippie wallace no vimeo
 I don't want to press you.,I don't want to rush you.,Eu não quero te apressar., i don t want to press you ,i don t want to rush you ,eu não quero te apressar 
 The picnic was ruined by a martial bar.,The picnic was ruined by a martial band.,O piquenique foi arruinado por uma banda marcial., the picnic was ruined by a martial bar ,the picnic was ruined by a martial band ,o piquenique foi arruinado por uma banda marcial 
 This guy stole my watch.,This guy stole my watch.,Esse cara roubou meu relógio., this guy stole my watch ,this guy stole my watch ,esse cara roubou meu relógio 
 are a gu Bau Yuan highlighter sharp.,They are a pair of empty eyes.,São um par de olhares vagarosos, are a gu bau yuan highlighter sharp ,they are a pair of empty eyes ,são um par de olhares vagarosos
" As soon as I observed, the gap was empty and then it was comfortable to sleep.","While watching, the cat licked its ears and then settled down to sleep.","Enquanto observava?, o gato lavou as orelhas e depois se acomodou para dormir.", as soon as i observed the gap was empty and then it was comfortable to sleep ,while watching the cat licked its ears and then settled down to sleep ,enquanto observava o gato lavou as orelhas e depois se acomodou para dormir 
 with disparaging love.,Love is full of false alarms.,O amor é frutífero de alarmes, with disparaging love ,love is full of false alarms ,o amor é frutífero de alarmes
 Men and their children pass by an ado forum.,A man and his son go through an adult video store.,Um homem e seu filho passam por uma locadora de vídeos adultos., men and their children pass by an ado forum ,a man and his son go through an adult video store ,um homem e seu filho passam por uma locadora de vídeos adultos 
 I don't want to.,I don’t want it.,Eu não quero., i don t want to ,i don t want it ,eu não quero 
 the esta sell,Chemical elements.,Elementos da química., the esta sell,chemical elements ,elementos da química 
" Two men dressed in glasses, talking.",Are two men wearing glasses while talking?,Dois homens vestindo óculos? falando., two men dressed in glasses talking ,are two men wearing glasses while talking ,dois homens vestindo óculos falando 
 There are many autógrafos in the front.,There is a lot of autograph hunters upfront.,Há um monte de caçadores de autógrafos na frente., there are many autógrafos in the front ,there is a lot of autograph hunters upfront ,há um monte de caçadores de autógrafos na frente 
 with your long Leg Пр,Long-term commitment.,Compromisso de longo prazo, with your long leg пр,long term commitment ,compromisso de longo prazo
 Two men are running in front of a light.,Two men are laughing in front of the light.,Dois homens estão rindo na frente de uma luz., two men are running in front of a light ,two men are laughing in front of the light ,dois homens estão rindo na frente de uma luz 
 Very good afternoon!,Good afternoon.,Muito boa tarde., very good afternoon ,good afternoon ,muito boa tarde 
 A tambour being touched with two sticks.,A drum being played with two sticks.,Um tambor sendo tocado com dois paus, a tambour being touched with two sticks ,a drum being played with two sticks ,um tambor sendo tocado com dois paus
 Tell me the time forecast here in 7 years.,Tell me the weather forecast from here in seven years.,Diga-me a previsão do tempo aqui em sete anos, tell me the time forecast here in 7 years ,tell me the weather forecast from here in seven years ,diga me a previsão do tempo aqui em sete anos
" A man dying, playing rugby.",A black man playing rugby.,Um homem moreno jogando rugby., a man dying playing rugby ,a black man playing rugby ,um homem moreno jogando rugby 
 By the evil and familiar,He seems old and wise.,Parece velho e sábio., by the evil and familiar,he seems old and wise ,parece velho e sábio 
" A man again, a woman who is disgusted with the red dance.",A young man and woman are dancing and wearing Tango clothes.,Um homem novo e uma mulher que desgastam a dança vermelha., a man again a woman who is disgusted with the red dance ,a young man and woman are dancing and wearing tango clothes ,um homem novo e uma mulher que desgastam a dança vermelha 
 Law you bastard!,Drop that chair!,Largue essa cadeira!, law you bastard ,drop that chair ,largue essa cadeira 
 They can make breakfast coffee.,They can make breakfast.,Eles podem fazer café da manhã, they can make breakfast coffee ,they can make breakfast ,eles podem fazer café da manhã
 This page was edited for the last time.,This page was edited for the last time.,Esta página foi editada pela última vez., this page was edited for the last time ,this page was edited for the last time ,esta página foi editada pela última vez 
 All of the lights are right here in the air,All hoses are connected to the defective hub.,Todas as mangueiras estão conectadas ao cubo defeituoso., all of the lights are right here in the air,all hoses are connected to the defective hub ,todas as mangueiras estão conectadas ao cubo defeituoso 
" A woman and a woman miss out in one line, in the kiss, hépsul芐. .",A man and a woman are sitting at the table having deep conversations and drinks.,Um homem e uma mulher sentados em uma mesa com bebidas e conversas profundas., a woman and a woman miss out in one line in the kiss hépsul芐 ,a man and a woman are sitting at the table having deep conversations and drinks ,um homem e uma mulher sentados em uma mesa com bebidas e conversas profundas 
" Wait to hear the hand of the carol in the wheel, it would be the best.",Wait to hear the girl's mother on the radio would be the best.,Esperar para ouvir a mãe da garota no rádio seria o melhor., wait to hear the hand of the carol in the wheel it would be the best ,wait to hear the girl s mother on the radio would be the best ,esperar para ouvir a mãe da garota no rádio seria o melhor 
 i'm like boss sharing,I still like talking with her.,Ainda gosto de mim conversando com ela, i m like boss sharing,i still like talking with her ,ainda gosto de mim conversando com ela
 A truck � reiterated to a price.,A cargo truck making a delivery to a market.,Um caminhão-tanque fazendo uma entrega para um mercado, a truck reiterated to a price ,a cargo truck making a delivery to a market ,um caminhão tanque fazendo uma entrega para um mercado
 just do what we can after the taskion,Only hot water after leaving the station.,Apenas água quente depois de sair da estação, just do what we can after the taskion,only hot water after leaving the station ,apenas água quente depois de sair da estação
" Friends, how we want and relatives, as God gives us.",Friends as we want and relatives as God gives.,Amigos como os queremos e parentes como Deus lhes dá., friends how we want and relatives as god gives us ,friends as we want and relatives as god gives ,amigos como os queremos e parentes como deus lhes dá 
 Who wrote this song?,Who wrote this song?,Quem escreveu essa música?, who wrote this song ,who wrote this song ,quem escreveu essa música 
 I'll write more of the vaga,I will write more slowly.,vou escrever mais devagar., i ll write more of the vaga,i will write more slowly ,vou escrever mais devagar 
 There are two children.,There are two challenges.,Existem dois desafios., there are two children ,there are two challenges ,existem dois desafios 
 What will you do with me?,What are you going to do with me?,O que vais fazer comigo?, what will you do with me ,what are you going to do with me ,o que vais fazer comigo 
 People who work in flowering with flower path,People that work with flowers in a flower cart.,Pessoas que trabalham em flores em um carrinho de flor., people who work in flowering with flower path,people that work with flowers in a flower cart ,pessoas que trabalham em flores em um carrinho de flor 
" I definitely am out of practice writing things, too.",Am I definitely out of practice for writing stuff? For sure.,Eu definitivamente estou fora da prática escrevendo coisas? também., i definitely am out of practice writing things too ,am i definitely out of practice for writing stuff for sure ,eu definitivamente estou fora da prática escrevendo coisas também 
 A group of masculine music plays instruments including guitar and drums.,"A group of male musicians play instruments, including guitar and drums.",Um grupo de músicos masculinos toca instrumentos incluindo guitarra e bateria., a group of masculine music plays instruments including guitar and drums ,a group of male musicians play instruments including guitar and drums ,um grupo de músicos masculinos toca instrumentos incluindo guitarra e bateria 
 and over and finally,As I was before.,Como eu antes, and over and finally,as i was before ,como eu antes
 That's hurt myself a lot.,Don't let him eat too many strawberries.,Não deixe que ele coma muitos morangos., that s hurt myself a lot ,don t let him eat too many strawberries ,não deixe que ele coma muitos morangos 
 The love that they have with the people who love.,Love demanded that they stay with the their loved ones.,O amor exigia que ficassem com as pessoas que amavam., the love that they have with the people who love ,love demanded that they stay with the their loved ones ,o amor exigia que ficassem com as pessoas que amavam 
 I need a new face,I need a knife on my face.,Eu preciso de uma faca no meu rosto., i need a new face,i need a knife on my face ,eu preciso de uma faca no meu rosto 
 You don't want me to stay?,Do you want me to stay?,Você não quer que eu fique?, you don t want me to stay ,do you want me to stay ,você não quer que eu fique 
" A scientist is a laboratory, a microscope is being used.",A scientist in a lab coat is using a microscope.,Um cientista em uma bata de laboratório está usando um microscópio., a scientist is a laboratory a microscope is being used ,a scientist in a lab coat is using a microscope ,um cientista em uma bata de laboratório está usando um microscópio 
 Young Mai Bluzabranca de Forte Jesus Understanding无 feathers,A young man in a white shirt? Playing tennis wearing long blue shorts?,Jovem de blusa branca? shorts azuis compridos? jogando tênis., young mai bluzabranca de forte jesus understanding无 feathers,a young man in a white shirt playing tennis wearing long blue shorts ,jovem de blusa branca shorts azuis compridos jogando tênis 
 I have a house in the light.,I have a house in Luzhou.,Eu tenho uma casa em Luzhou., i have a house in the light ,i have a house in luzhou ,eu tenho uma casa em luzhou 
 – Perhaps you have from Ben case,Perhaps you are being beaten.,Talvez você esteja sendo espancado., perhaps you have from ben case,perhaps you are being beaten ,talvez você esteja sendo espancado 
 Anyone can do that. I saw it.,"Anyone can do that, he said.","Qualquer um pode fazer isso, ele disse.", anyone can do that i saw it ,anyone can do that he said ,qualquer um pode fazer isso ele disse 
 I think they realized that nothing should have been done at the moment.,I think they realized that nothing should be done at the moment.,Acho que eles perceberam que nada deveria ser feito no momento., i think they realized that nothing should have been done at the moment ,i think they realized that nothing should be done at the moment ,acho que eles perceberam que nada deveria ser feito no momento 
 Motherboard wench,A man standing while wearing a helmet.,Homem de pé enquanto usava um capacete., motherboard wench,a man standing while wearing a helmet ,homem de pé enquanto usava um capacete 
 bookstores and muchos atos,Few words and many actions.,Poucas palavras e muitos atos., bookstores and muchos atos,few words and many actions ,poucas palavras e muitos atos 
 Don't stop reading this book for nothing.,Don't stop reading this book for nothing!,Não pare de ler esse livro por nada!, don t stop reading this book for nothing ,don t stop reading this book for nothing ,não pare de ler esse livro por nada 
" Remove the brush with optimizing tools and apply it to the colorml whites pen and bowl to add clean surtout colored details Next, give a greenish color to the excess",The reader just needs to know what he does.,O leitor só precisa saber o que faz., remove the brush with optimizing tools and apply it to the colorml whites pen and bowl to add clean surtout colored details next give a greenish color to the excess,the reader just needs to know what he does ,o leitor só precisa saber o que faz 
 Two houses are sitting in a small house in a parking space.,Two couples are sitting at a picnic table in a park setting.,Dois casais estão sentados em uma mesa de piquenique em um cenário de parque., two houses are sitting in a small house in a parking space ,two couples are sitting at a picnic table in a park setting ,dois casais estão sentados em uma mesa de piquenique em um cenário de parque 
 A young boy practicing martial arts.,A young boy practicing martial arts.,Um jovem rapaz praticando artes marciais., a young boy practicing martial arts ,a young boy practicing martial arts ,um jovem rapaz praticando artes marciais 
 Bratzag move joyfully.,Coming soon.,Brevemente, bratzag move joyfully ,coming soon ,brevemente
 North City is serving the Taipei Youth Career Development Center.,North City is providing the Taipei Youth Career Development Center.,North City está servindo a Taipei Youth Career Development Center, north city is serving the taipei youth career development center ,north city is providing the taipei youth career development center ,north city está servindo a taipei youth career development center
" Now, it will be with hope.",Now it will be with hope.,Agora será com esperança., now it will be with hope ,now it will be with hope ,agora será com esperança 
 Remember to make a second year out of it.,Remember that there is a second year.,Lembre-se que há um segundo ano fora, remember to make a second year out of it ,remember that there is a second year ,lembre se que há um segundo ano fora
 You are the greatest fish in the city.,You are the greatest person in town!,Você é a maior pessoa da cidade!, you are the greatest fish in the city ,you are the greatest person in town ,você é a maior pessoa da cidade 
 me accurate,Will be colder in Texas?,Será mais frio no Texas?, me accurate,will be colder in texas ,será mais frio no texas 
 You can remember something,Can you remember anything?,Você consegue se lembrar de alguma coisa?, you can remember something,can you remember anything ,você consegue se lembrar de alguma coisa 
 Bet,The cat sat on the fence.,O gato sentou-se na cerca., bet,the cat sat on the fence ,o gato sentou se na cerca 
 There are better students and students.,Have the best students and the best alumni.,Tenha melhores alunos e ex-alunos, there are better students and students ,have the best students and the best alumni ,tenha melhores alunos e ex alunos
 The catalysts have chemRCame reactions underian temperatures.,Catalysts enable chemical reactions at low temperatures.,Os catalisadores possibilitam reações químicas em baixas temperaturas., the catalysts have chemrcame reactions underian temperatures ,catalysts enable chemical reactions at low temperatures ,os catalisadores possibilitam reações químicas em baixas temperaturas 
 I knew you would wake up more early or late.,I knew you would wake up sooner or later!,Eu sabia que você acordaria mais cedo ou mais tarde!, i knew you would wake up more early or late ,i knew you would wake up sooner or later ,eu sabia que você acordaria mais cedo ou mais tarde 
 You are not capable of this.,You are not capable of that.,Você não é capaz disto, you are not capable of this ,you are not capable of that ,você não é capaz disto
 The scanner with automatic sensors and documents really exist.,Scanners with automatic document feeders do exist.,Scanners com alimentadores automáticos de documentos realmente existem., the scanner with automatic sensors and documents really exist ,scanners with automatic document feeders do exist ,scanners com alimentadores automáticos de documentos realmente existem 
 So you're going to die in the middle of trying to realize your destiny.,So you will die trying to find your destiny.,Então você vai morrer no meio de tentar perceber o seu destino., so you re going to die in the middle of trying to realize your destiny ,so you will die trying to find your destiny ,então você vai morrer no meio de tentar perceber o seu destino 
 He made fun of me and then peel for a daha,He made us stand and watch him paint for an hour.,Ele nos fez ficar de pé e vê-lo pintar por uma hora., he made fun of me and then peel for a daha,he made us stand and watch him paint for an hour ,ele nos fez ficar de pé e vê lo pintar por uma hora 
 Pfff... that's his surgical question ?,Is this rhetorical question?,Foi essa pergunta retórica?, pfff that s his surgical question ,is this rhetorical question ,foi essa pergunta retórica 
 The time should be somewhere around 6 o'clock.,The time must be somewhere around six hours.,O tempo devia estar em algum lugar por volta das seis horas., the time should be somewhere around 6 o clock ,the time must be somewhere around six hours ,o tempo devia estar em algum lugar por volta das seis horas 
" At night, the laryx woke up from a deep sleep.","At night, the alarm woke him from a deep sleep.","De noite, o alarme despertou-o de um sono profundo.", at night the laryx woke up from a deep sleep ,at night the alarm woke him from a deep sleep ,de noite o alarme despertou o de um sono profundo 
 de,Give the Chater's Annual a two out of six rate.,Dê ao Chater's Annual uma classificação de dois em seis., de,give the chater s annual a two out of six rate ,dê ao chater s annual uma classificação de dois em seis 
 The front was strongly visible.,The border was heavily guarded.,A fronteira era fortemente vigiada., the front was strongly visible ,the border was heavily guarded ,a fronteira era fortemente vigiada 
 All the writing was attended by a silencer in the computer.,The entire office was filled with deafening silence.,Todo o escritório foi atingido por um silêncio ensurdecedor., all the writing was attended by a silencer in the computer ,the entire office was filled with deafening silence ,todo o escritório foi atingido por um silêncio ensurdecedor 
olia Birthday Mummy,The red ribbon tied the smuggled food.,A fita vermelha ligava a comida contrabandeada.,olia birthday mummy,the red ribbon tied the smuggled food ,a fita vermelha ligava a comida contrabandeada 
 We were together and we were together. I was part of the objective. It was a good relationship.,Living together means sharing goals and having a good relationship.,"Viver juntos significa viver juntos, compartilhar objetivos e ter um bom relacionamento.", we were together and we were together i was part of the objective it was a good relationship ,living together means sharing goals and having a good relationship ,viver juntos significa viver juntos compartilhar objetivos e ter um bom relacionamento 
 moment I'm getting closer to the finger christmasvision,A man is holding a stringed instrument.,Um homem fica segurando um instrumento de cordas., moment i m getting closer to the finger christmasvision,a man is holding a stringed instrument ,um homem fica segurando um instrumento de cordas 
 Thank you very much.,What have you done?,O que você fez?, thank you very much ,what have you done ,o que você fez 
" Here there's the Public File commission also,",Another important stage of my life would also begin here.,Aqui também outro estágio importante da minha vida também começaria., here there s the public file commission also ,another important stage of my life would also begin here ,aqui também outro estágio importante da minha vida também começaria 
erek вед público,Black people talking in the market.,Negros falando no mercado.,erek вед público,black people talking in the market ,negros falando no mercado 
 The third industrial revolution.,The third wave of industrial revolution.,A terceira onda de revolução industrial, the third industrial revolution ,the third wave of industrial revolution ,a terceira onda de revolução industrial
 Two white women are passing by a picture of people playing golf.,Two women in white dresses are looking at a picture of people playing golf.,Duas mulheres em vestidos brancos estão passando por uma foto de pessoas jogando golfe., two white women are passing by a picture of people playing golf ,two women in white dresses are looking at a picture of people playing golf ,duas mulheres em vestidos brancos estão passando por uma foto de pessoas jogando golfe 
 Michael opened a browser and it browsered to an anonymous search mechanism.,Michael opened the browser and navigated through an anonymous search engine.,Michael abriu um navegador e navegou para um mecanismo de pesquisa anônimo., michael opened a browser and it browsered to an anonymous search mechanism ,michael opened the browser and navigated through an anonymous search engine ,michael abriu um navegador e navegou para um mecanismo de pesquisa anônimo 
 It seemed that it was already with me.,It looked like you were upset with me.,Parecia que estavas chateada comigo., it seemed that it was already with me ,it looked like you were upset with me ,parecia que estavas chateada comigo 
 Hearts такой are financed at 있고 최근,Motorcycles are parked on a busy street behind a fence.,Motocicletas estão estacionadas atrás de uma cerca em uma rua movimentada., hearts такой are financed at 있고 최근,motorcycles are parked on a busy street behind a fence ,motocicletas estão estacionadas atrás de uma cerca em uma rua movimentada 
 We have a lady kitchen in the chair drunk in terms of others. They like playing with food at theothe² (*if you hit with food for better seeing it if you drink!!!!!!*),A man cooks chicken on the grill while the others enjoy the food in the backyard.,Um homem cozinha frango na churrasqueira enquanto outros gostam de comida ao fundo., we have a lady kitchen in the chair drunk in terms of others they like playing with food at theothe2 ,a man cooks chicken on the grill while the others enjoy the food in the backyard ,um homem cozinha frango na churrasqueira enquanto outros gostam de comida ao fundo 
 A man with black eyebrows written on the eyes behind a sinesp Milky Way knife,A woman with a black hat standing behind a doll stroller.,Uma mulher em um chapéu negro em pé atrás de um carrinho de boneca., a man with black eyebrows written on the eyes behind a sinesp milky way knife,a woman with a black hat standing behind a doll stroller ,uma mulher em um chapéu negro em pé atrás de um carrinho de boneca 
 forward... like not to miss a comment,Baby taking a nap in the crib.,Bebê tirando uma soneca no berço., forward like not to miss a comment,baby taking a nap in the crib ,bebê tirando uma soneca no berço 
 Why do you say that?,Why do you say that?,Por que você diz isso?, why do you say that ,why do you say that ,por que você diz isso 
 A child adds tape to a chinese piece.,A child is watering the plants in the backyard.,uma criança regar plantas em um quintal, a child adds tape to a chinese piece ,a child is watering the plants in the backyard ,uma criança regar plantas em um quintal
 One mother and two children sit to rest.,A mother and her two children sit down to rest.,Uma mãe e seus dois filhos sentam-se para descansar, one mother and two children sit to rest ,a mother and her two children sit down to rest ,uma mãe e seus dois filhos sentam se para descansar
 Create new Bueno and adults.,Children and adults swim in the large pool with a red ladder.,Crianças e adultos nadam na grande piscina com escada vermelha, create new bueno and adults ,children and adults swim in the large pool with a red ladder ,crianças e adultos nadam na grande piscina com escada vermelha
 Classify the 0 point of conflict of visions.,Rate a point of view with zero conflict.,Classifique um zero ponto de conflito de visões, classify the 0 point of conflict of visions ,rate a point of view with zero conflict ,classifique um zero ponto de conflito de visões
 Everyone gets there looking for this karşı狱 hammerkin!,A man is pushing his blue-painted snack cart down the street.,Um homem está empurrando seu carrinho de lanche pintado de azul pela rua., everyone gets there looking for this karşı狱 hammerkin ,a man is pushing his blue painted snack cart down the street ,um homem está empurrando seu carrinho de lanche pintado de azul pela rua 
 I need one more,I need one more.,Eu preciso de mais um., i need one more,i need one more ,eu preciso de mais um 
" A drop of salt, a stone in a river.",A boy jumps from the rock into a stream.,Um garoto salta uma pedra em um riacho., a drop of salt a stone in a river ,a boy jumps from the rock into a stream ,um garoto salta uma pedra em um riacho 
" to protect sick people,",People walk through a village path in India.,As pessoas andam por um caminho em uma aldeia na Índia., to protect sick people ,people walk through a village path in india ,as pessoas andam por um caminho em uma aldeia na índia 
 two like apes that,Two young girls are holding pictures of a sloth in the middle of the crowd.,Duas raparigas que prendem retratos de uma preguiça em uma multidão dos povos., two like apes that,two young girls are holding pictures of a sloth in the middle of the crowd ,duas raparigas que prendem retratos de uma preguiça em uma multidão dos povos 
" Apparently, they are the balls that make with which the sun is so good.","Apparently, the dumplings that make the stew so good.","Aparentemente, são os bolinhos que fazem com que o ensopado seja tão bom.", apparently they are the balls that make with which the sun is so good ,apparently the dumplings that make the stew so good ,aparentemente são os bolinhos que fazem com que o ensopado seja tão bom 
" Please, spend the time.","Please, postman.","Por favor, carteiro.", please spend the time ,please postman ,por favor carteiro 
 Behaving about films and films in google.,Find movie times at Bow Tie Cinemas.,Encontre os horários dos filmes no Bow Tie Cinemas., behaving about films and films in google ,find movie times at bow tie cinemas ,encontre os horários dos filmes no bow tie cinemas 
 I didn't hear anything from it.,I didn't hear any of that.,Eu mesmo não ouvi nada disso., i didn t hear anything from it ,i didn t hear any of that ,eu mesmo não ouvi nada disso 
 Don't organize everything that is difficult to do.,Don't organize what is difficult to do.,Não organize tudo o que é difícil de fazer., don t organize everything that is difficult to do ,don t organize what is difficult to do ,não organize tudo o que é difícil de fazer 
 Nobody knows about that.,No one knows that.,Ninguém sabe disso, nobody knows about that ,no one knows that ,ninguém sabe disso
 I have tried to find you for all this city.,I've been looking all over the city trying to find you.,Eu tenho procurado por toda a cidade tentando encontrar você., i have tried to find you for all this city ,i ve been looking all over the city trying to find you ,eu tenho procurado por toda a cidade tentando encontrar você 
" The man who works in the Anduin, in the local of construction work.",A man is working on scaffolding at the construction workplace.,Homem que trabalha no andaime no local de trabalho da construção., the man who works in the anduin in the local of construction work ,a man is working on scaffolding at the construction workplace ,homem que trabalha no andaime no local de trabalho da construção 
 We asked a pizza.,Did we order a pizza?,Nós pedimos uma pizza?, we asked a pizza ,did we order a pizza ,nós pedimos uma pizza 
 My mother and daughter was誕 a lab?,As mother as daughter.,"Mãe de mãe e filha, prato de cobre.", my mother and daughter was誕 a lab ,as mother as daughter ,mãe de mãe e filha prato de cobre 
 The car engine is holding a trophy.,A race car driver is holding a trophy.,Um motorista de carro de corrida está segurando um troféu., the car engine is holding a trophy ,a race car driver is holding a trophy ,um motorista de carro de corrida está segurando um troféu 
" According to the signal, without the installation today due to the film's image.",According to the signal? No parking today because of the shooting of the film.,De acordo com o sinal? sem estacionamento hoje por causa da filmagem do filme., according to the signal without the installation today due to the film s image ,according to the signal no parking today because of the shooting of the film ,de acordo com o sinal sem estacionamento hoje por causa da filmagem do filme 
 Men getting out of shape are putting aceny.,A man in uniform is carrying a bush.,Um homem de uniforme carregando um arbusto., men getting out of shape are putting aceny ,a man in uniform is carrying a bush ,um homem de uniforme carregando um arbusto 
" 5 crowd bubbles, Vir grandparents floating on their playground",There are five boys spinning around in a merry-go-round.,Há cinco meninos girando em um merrygoround., 5 crowd bubbles vir grandparents floating on their playground,there are five boys spinning around in a merry go round ,há cinco meninos girando em um merrygoround 
服 your freeардom,Taipei City’s Employment Service.,Serviço de Emprego da Cidade de Taipei,服 your freeардom,taipei city s employment service ,serviço de emprego da cidade de taipei
" The fire is finished, open the oven.","The gossip is over, forget your honor!","A fofoca está terminada, abra a honra!", the fire is finished open the oven ,the gossip is over forget your honor ,a fofoca está terminada abra a honra 
" This is a girl, her father playing a taboo game.",These are a boy and his father playing a board game.,Este é um menino e seu pai jogando um jogo de tabuleiro., this is a girl her father playing a taboo game ,these are a boy and his father playing a board game ,este é um menino e seu pai jogando um jogo de tabuleiro 
" Nevertheless, it was not concluded",Although it's not completed.,Embora não seja concluído, nevertheless it was not concluded,although it s not completed ,embora não seja concluído
 It seems she can keep Kat in the back of the room.,It looks like she kept Kathy on tiptoe.,Parece que ela pode manter Kathy na ponta dos pés., it seems she can keep kat in the back of the room ,it looks like she kept kathy on tiptoe ,parece que ela pode manter kathy na ponta dos pés 
 Canzão Young During Houghts SAYS,Young couple in formalwear holding hands.,Casal jovem em trajes formais de mãos dadas, canzão young during houghts says,young couple in formalwear holding hands ,casal jovem em trajes formais de mãos dadas
 right.,How will be the weather? Up to twenty-three.,Como vai ser o tempo? o vigésimo terceiro na cidade de Valor, right ,how will be the weather up to twenty three ,como vai ser o tempo o vigésimo terceiro na cidade de valor
" a meeting, sniffing together, scuffering by looking at each other",A child playing on a red scooter.,Uma criança brincando em uma scooter vermelha., a meeting sniffing together scuffering by looking at each other,a child playing on a red scooter ,uma criança brincando em uma scooter vermelha 
