translation,reference,source,translation_clean,reference_clean,source_clean
 He was so far away that his face was not even visible.,He was so far away that his face wasn't even visible.,Ele estava tão longe que seu rosto nem era visível., he was so far away that his face was not even visible ,he was so far away that his face wasn t even visible ,ele estava tão longe que seu rosto nem era visível 
 I think I better go.,I think I should go.,Acho melhor eu ir embora., i think i better go ,i think i should go ,acho melhor eu ir embora 
 A lemon tea can be great to drink in this summer.,A lemon tea may be a great choice to drink this summer.,Um chá de limão pode ser ótimo para beber neste verão., a lemon tea can be great to drink in this summer ,a lemon tea may be a great choice to drink this summer ,um chá de limão pode ser ótimo para beber neste verão 
 Smoking in places where it is prohibited for safety and hygiene reasons,Smoking in places where it's prohibited for safety and hygiene reasons.,Fumar em locais onde é proibido por razões de segurança e higiene., smoking in places where it is prohibited for safety and hygiene reasons,smoking in places where it s prohibited for safety and hygiene reasons ,fumar em locais onde é proibido por razões de segurança e higiene 
 A man throwing Santa Claus with glasses in his nose,A man playing Santa Claus with his glasses over his nose.,Um homem jogando Papai Noel com óculos no nariz., a man throwing santa claus with glasses in his nose,a man playing santa claus with his glasses over his nose ,um homem jogando papai noel com óculos no nariz 
 Think about what you would like to improve in your custom version.,Think about what you would like to improve in your customized version.,Pense no que você gostaria de melhorar em sua versão personalizada., think about what you would like to improve in your custom version ,think about what you would like to improve in your customized version ,pense no que você gostaria de melhorar em sua versão personalizada 
 But how?,But how?,Mas como?, but how ,but how ,mas como 
" Much better, said the old man.","""Much better?"" said the old man.","""Muito melhor?"" disse o velho.", much better said the old man , much better said the old man , muito melhor disse o velho 
 The journey was coming to an end.,The trip was coming to an end,A viagem estava chegando ao fim, the journey was coming to an end ,the trip was coming to an end,a viagem estava chegando ao fim
 Paris seems to be a good destination.,Paris seems to be a good destination.,Paris parecer ser um bom destino., paris seems to be a good destination ,paris seems to be a good destination ,paris parecer ser um bom destino 
 It is not possible to return through the twisted paths.,It's not possible to go back to rough paths.,Não é possível voltar pelos caminhos agitados., it is not possible to return through the twisted paths ,it s not possible to go back to rough paths ,não é possível voltar pelos caminhos agitados 
 Thailand ended up being a very satisfactory holiday.,Thailand turned out to be a satisfying holiday.,A Tailândia acabou sendo um feriado muito satisfatório., thailand ended up being a very satisfactory holiday ,thailand turned out to be a satisfying holiday ,a tailândia acabou sendo um feriado muito satisfatório 
 A bowl of rice,A rice bowl.,Uma tigela de arroz., a bowl of rice,a rice bowl ,uma tigela de arroz 
 There was no way for everyone to know about alchemy.,It wasn't possible for everyone to know about alchemy.,Não havia como todos saberem sobre alquimia., there was no way for everyone to know about alchemy ,it wasn t possible for everyone to know about alchemy ,não havia como todos saberem sobre alquimia 
 This is for you!,This is for you.,Isto é para você., this is for you ,this is for you ,isto é para você 
" I want to hear Merry Go Round by Gary Nichols from Grill Shark, please.","I want to hear Merry Go Round by Gary Nichols from Groove Shark, please.",Eu quero ouvir Merry Go Round por Gary Nichols do Groove Shark por favor., i want to hear merry go round by gary nichols from grill shark please ,i want to hear merry go round by gary nichols from groove shark please ,eu quero ouvir merry go round por gary nichols do groove shark por favor 
 Four women who play hockey fight over a record.,Four women playing hockey fight over a puck.,Quatro mulheres que jogam o hóquei lutam sobre um disco., four women who play hockey fight over a record ,four women playing hockey fight over a puck ,quatro mulheres que jogam o hóquei lutam sobre um disco 
 Find animated movies in the area.,Find animated movies in the area.,Encontre filmes animados na área., find animated movies in the area ,find animated movies in the area ,encontre filmes animados na área 
 An old man in a red jacket is sleeping outside.,An old man in a red jacket is sleeping outside.,Um homem velho em uma jaqueta vermelha está dormindo lá fora., an old man in a red jacket is sleeping outside ,an old man in a red jacket is sleeping outside ,um homem velho em uma jaqueta vermelha está dormindo lá fora 
 A man is singing in a microphone and another man is playing the guitar.,A man is singing with a microphone and another man is playing the guitar.,Um homem está cantando em um microfone e outro homem está tocando violão., a man is singing in a microphone and another man is playing the guitar ,a man is singing with a microphone and another man is playing the guitar ,um homem está cantando em um microfone e outro homem está tocando violão 
 Three teammates in action in a grass field.,Three teammates in action in a grass field.,Três colegas de equipe na ação em um campo de grama., three teammates in action in a grass field ,three teammates in action in a grass field ,três colegas de equipe na ação em um campo de grama 
 What will be the time here?,How long will you be here?,Qual será o tempo aqui?, what will be the time here ,how long will you be here ,qual será o tempo aqui 
 I will explain this in today's class.,I will explain this in class today.,Eu irei explicar isso na classe hoje., i will explain this in today s class ,i will explain this in class today ,eu irei explicar isso na classe hoje 
 This person is climbing the side of a mountain.,This person is climbing the side of a mountain.,Esta pessoa está escalando o lado de uma montanha., this person is climbing the side of a mountain ,this person is climbing the side of a mountain ,esta pessoa está escalando o lado de uma montanha 
 Do you think Steven would let you keep this?,Do you think Steven would have allowed you to keep this?,Você acha que Steven teria deixado você manter isso?, do you think steven would let you keep this ,do you think steven would have allowed you to keep this ,você acha que steven teria deixado você manter isso 
" Unfortunately, my dream of becoming a Sussurro de Esquilo can never happen.",Unfortunately! My dream of becoming a squirrel whisperer may never happen.,Infelizmente! meu sonho de se tornar um sussurro de esquilo pode nunca acontecer., unfortunately my dream of becoming a sussurro de esquilo can never happen ,unfortunately my dream of becoming a squirrel whisperer may never happen ,infelizmente meu sonho de se tornar um sussurro de esquilo pode nunca acontecer 
 Even the end-to-end has to put new elements.,Even Wenchuang has to add new elements.,Até mesmo Wenchuang tem que colocar novos elementos., even the end to end has to put new elements ,even wenchuang has to add new elements ,até mesmo wenchuang tem que colocar novos elementos 
 ...and be constantly fighting.,Constantly fighting.,Estar constantemente brigando, and be constantly fighting ,constantly fighting ,estar constantemente brigando
 Seed the sauce in May and throughout the year you will have it.,Plant parsley in May and you will have it throughout the year.,Semeie a salsa em maio e durante todo o ano você a terá., seed the sauce in may and throughout the year you will have it ,plant parsley in may and you will have it throughout the year ,semeie a salsa em maio e durante todo o ano você a terá 
 I'm so happy!,I'm so happy.,Eu estou tão feliz., i m so happy ,i m so happy ,eu estou tão feliz 
" Please, cardholder.",Please postman.,Por favor carteiro, please cardholder ,please postman ,por favor carteiro
 A man looks at a pile of melons loaded in a vehicle.,A man looks to a pile of melons being carried by a vehicle.,Um homem olha para uma pilha de melões carregados em um veículo, a man looks at a pile of melons loaded in a vehicle ,a man looks to a pile of melons being carried by a vehicle ,um homem olha para uma pilha de melões carregados em um veículo
 book a table in Big City Burrito in Tower City,Book a table at the Big City Burrito in Tower City.,reservar uma mesa em Big City Burrito em Tower City, book a table in big city burrito in tower city,book a table at the big city burrito in tower city ,reservar uma mesa em big city burrito em tower city
 The four musicians are getting ready to play their instruments.,The four musicians are getting ready to play their instruments.,Os quatro músicos estão se preparando para tocar seus instrumentos., the four musicians are getting ready to play their instruments ,the four musicians are getting ready to play their instruments ,os quatro músicos estão se preparando para tocar seus instrumentos 
 Two girls who draw sailboats with chalk on the side of the concrete.,Two girls draw sailboats with chalk on the side of the concrete.,Duas meninas que desenham veleiros com giz no lado do concreto., two girls who draw sailboats with chalk on the side of the concrete ,two girls draw sailboats with chalk on the side of the concrete ,duas meninas que desenham veleiros com giz no lado do concreto 
 An Indian family is united in a body of water looking out.,An Indian family is united in a waterbody looking out of it.,Uma família indiana está unida em um corpo de água olhando para fora., an indian family is united in a body of water looking out ,an indian family is united in a waterbody looking out of it ,uma família indiana está unida em um corpo de água olhando para fora 
" During the entrance exams, all candidates will have access to the locker rooms.","During the tests, all candidates will have access to the locker rooms.","Durante os testes de entrada, todos os candidatos terão acesso aos vestiários.", during the entrance exams all candidates will have access to the locker rooms ,during the tests all candidates will have access to the locker rooms ,durante os testes de entrada todos os candidatos terão acesso aos vestiários 
 Who created the universe?,Who created the universe?,Quem criou o universo?, who created the universe ,who created the universe ,quem criou o universo 
 Sometimes I need money.,Sometimes I need money.,Às vezes preciso de dinheiro, sometimes i need money ,sometimes i need money ,às vezes preciso de dinheiro
 So we broke in one night,So we broke it in one night.,Então nós quebramos em uma noite., so we broke in one night,so we broke it in one night ,então nós quebramos em uma noite 
 Just hurry up and get here!,Hurry up and get here.,Apenas se apresse e chegue aqui., just hurry up and get here ,hurry up and get here ,apenas se apresse e chegue aqui 
 The woman is posing in a rusty staircase.,The woman is posing in high heels on a rusty ladder.,A mulher está posando de salto alto em uma escada enferrujada, the woman is posing in a rusty staircase ,the woman is posing in high heels on a rusty ladder ,a mulher está posando de salto alto em uma escada enferrujada
 A man rowing a kayak along the coast of a river.,A man paddling a kayak along the river's edge.,Um homem que rema um caiaque ao longo da costa de um rio., a man rowing a kayak along the coast of a river ,a man paddling a kayak along the river s edge ,um homem que rema um caiaque ao longo da costa de um rio 
 It's just that I never had.,It's just that I never had.,É só que nunca tive., it s just that i never had ,it s just that i never had ,é só que nunca tive 
 Play while we wait for Cip Wallace in Vimeo,Play while we wait for Sippie Wallace on Vimeo.,Tocar Enquanto esperávamos por Sippie Wallace no Vimeo, play while we wait for cip wallace in vimeo,play while we wait for sippie wallace on vimeo ,tocar enquanto esperávamos por sippie wallace no vimeo
 I don't want to rush you.,I don't want to rush you.,Eu não quero te apressar., i don t want to rush you ,i don t want to rush you ,eu não quero te apressar 
 The picnic was ruined by a martial band.,The picnic was ruined by a martial band.,O piquenique foi arruinado por uma banda marcial., the picnic was ruined by a martial band ,the picnic was ruined by a martial band ,o piquenique foi arruinado por uma banda marcial 
 This guy stole my watch.,This guy stole my watch.,Esse cara roubou meu relógio., this guy stole my watch ,this guy stole my watch ,esse cara roubou meu relógio 
 are a pair of slow looks.,They are a pair of empty eyes.,São um par de olhares vagarosos, are a pair of slow looks ,they are a pair of empty eyes ,são um par de olhares vagarosos
" While he was watching, the cat washed his ears and then settled down to sleep.","While watching, the cat licked its ears and then settled down to sleep.","Enquanto observava?, o gato lavou as orelhas e depois se acomodou para dormir.", while he was watching the cat washed his ears and then settled down to sleep ,while watching the cat licked its ears and then settled down to sleep ,enquanto observava o gato lavou as orelhas e depois se acomodou para dormir 
 Love is fruitful in alarms.,Love is full of false alarms.,O amor é frutífero de alarmes, love is fruitful in alarms ,love is full of false alarms ,o amor é frutífero de alarmes
 A man and his son go through an adult video store.,A man and his son go through an adult video store.,Um homem e seu filho passam por uma locadora de vídeos adultos., a man and his son go through an adult video store ,a man and his son go through an adult video store ,um homem e seu filho passam por uma locadora de vídeos adultos 
 I don't want to.,I don’t want it.,Eu não quero., i don t want to ,i don t want it ,eu não quero 
 Elements of Chemistry,Chemical elements.,Elementos da química., elements of chemistry,chemical elements ,elementos da química 
" Two men wearing glasses, talking.",Are two men wearing glasses while talking?,Dois homens vestindo óculos? falando., two men wearing glasses talking ,are two men wearing glasses while talking ,dois homens vestindo óculos falando 
 There are a lot of autograph seekers in front of me.,There is a lot of autograph hunters upfront.,Há um monte de caçadores de autógrafos na frente., there are a lot of autograph seekers in front of me ,there is a lot of autograph hunters upfront ,há um monte de caçadores de autógrafos na frente 
 Long-term commitment,Long-term commitment.,Compromisso de longo prazo, long term commitment,long term commitment ,compromisso de longo prazo
 Two men are laughing in front of a light.,Two men are laughing in front of the light.,Dois homens estão rindo na frente de uma luz., two men are laughing in front of a light ,two men are laughing in front of the light ,dois homens estão rindo na frente de uma luz 
 Good afternoon!,Good afternoon.,Muito boa tarde., good afternoon ,good afternoon ,muito boa tarde 
 A drum being played with two sticks.,A drum being played with two sticks.,Um tambor sendo tocado com dois paus, a drum being played with two sticks ,a drum being played with two sticks ,um tambor sendo tocado com dois paus
 Tell me the weather forecast here in 7 years.,Tell me the weather forecast from here in seven years.,Diga-me a previsão do tempo aqui em sete anos, tell me the weather forecast here in 7 years ,tell me the weather forecast from here in seven years ,diga me a previsão do tempo aqui em sete anos
 A black man playing rugby,A black man playing rugby.,Um homem moreno jogando rugby., a black man playing rugby,a black man playing rugby ,um homem moreno jogando rugby 
 He looks old and wise.,He seems old and wise.,Parece velho e sábio., he looks old and wise ,he seems old and wise ,parece velho e sábio 
 A new man and a woman who wear out the red dance.,A young man and woman are dancing and wearing Tango clothes.,Um homem novo e uma mulher que desgastam a dança vermelha., a new man and a woman who wear out the red dance ,a young man and woman are dancing and wearing tango clothes ,um homem novo e uma mulher que desgastam a dança vermelha 
 Let go of this chair!,Drop that chair!,Largue essa cadeira!, let go of this chair ,drop that chair ,largue essa cadeira 
 They can make breakfast.,They can make breakfast.,Eles podem fazer café da manhã, they can make breakfast ,they can make breakfast ,eles podem fazer café da manhã
 This page was edited last time.,This page was edited for the last time.,Esta página foi editada pela última vez., this page was edited last time ,this page was edited for the last time ,esta página foi editada pela última vez 
 All hoses are connected to the defective bulb.,All hoses are connected to the defective hub.,Todas as mangueiras estão conectadas ao cubo defeituoso., all hoses are connected to the defective bulb ,all hoses are connected to the defective hub ,todas as mangueiras estão conectadas ao cubo defeituoso 
" A man and a woman sitting at a table, with drinks and deep conversations.",A man and a woman are sitting at the table having deep conversations and drinks.,Um homem e uma mulher sentados em uma mesa com bebidas e conversas profundas., a man and a woman sitting at a table with drinks and deep conversations ,a man and a woman are sitting at the table having deep conversations and drinks ,um homem e uma mulher sentados em uma mesa com bebidas e conversas profundas 
 Waiting to hear the girl's mother on the radio would be the best.,Wait to hear the girl's mother on the radio would be the best.,Esperar para ouvir a mãe da garota no rádio seria o melhor., waiting to hear the girl s mother on the radio would be the best ,wait to hear the girl s mother on the radio would be the best ,esperar para ouvir a mãe da garota no rádio seria o melhor 
 I still like the version of the channel.,I still like talking with her.,Ainda gosto de mim conversando com ela, i still like the version of the channel ,i still like talking with her ,ainda gosto de mim conversando com ela
 A tank truck delivering to the market,A cargo truck making a delivery to a market.,Um caminhão-tanque fazendo uma entrega para um mercado, a tank truck delivering to the market,a cargo truck making a delivery to a market ,um caminhão tanque fazendo uma entrega para um mercado
 Only hot water after leaving the station.,Only hot water after leaving the station.,Apenas água quente depois de sair da estação, only hot water after leaving the station ,only hot water after leaving the station ,apenas água quente depois de sair da estação
 Friends as we want and relatives as God gives them.,Friends as we want and relatives as God gives.,Amigos como os queremos e parentes como Deus lhes dá., friends as we want and relatives as god gives them ,friends as we want and relatives as god gives ,amigos como os queremos e parentes como deus lhes dá 
 Who wrote this song?,Who wrote this song?,Quem escreveu essa música?, who wrote this song ,who wrote this song ,quem escreveu essa música 
 I will write more slowly.,I will write more slowly.,vou escrever mais devagar., i will write more slowly ,i will write more slowly ,vou escrever mais devagar 
 There are two challenges.,There are two challenges.,Existem dois desafios., there are two challenges ,there are two challenges ,existem dois desafios 
 What are you going to do with me?,What are you going to do with me?,O que vais fazer comigo?, what are you going to do with me ,what are you going to do with me ,o que vais fazer comigo 
 People who work in flowers and zinc in flower paths,People that work with flowers in a flower cart.,Pessoas que trabalham em flores em um carrinho de flor., people who work in flowers and zinc in flower paths,people that work with flowers in a flower cart ,pessoas que trabalham em flores em um carrinho de flor 
 Am I definitely out of practice writing things? Also.,Am I definitely out of practice for writing stuff? For sure.,Eu definitivamente estou fora da prática escrevendo coisas? também., am i definitely out of practice writing things also ,am i definitely out of practice for writing stuff for sure ,eu definitivamente estou fora da prática escrevendo coisas também 
 A group of male musicians plays instruments including guitar and drums.,"A group of male musicians play instruments, including guitar and drums.",Um grupo de músicos masculinos toca instrumentos incluindo guitarra e bateria., a group of male musicians plays instruments including guitar and drums ,a group of male musicians play instruments including guitar and drums ,um grupo de músicos masculinos toca instrumentos incluindo guitarra e bateria 
 as I did before.,As I was before.,Como eu antes, as i did before ,as i was before ,como eu antes
 Do not let him eat too many strawberries!,Don't let him eat too many strawberries.,Não deixe que ele coma muitos morangos., do not let him eat too many strawberries ,don t let him eat too many strawberries ,não deixe que ele coma muitos morangos 
 Love required that they stay with the people they loved.,Love demanded that they stay with the their loved ones.,O amor exigia que ficassem com as pessoas que amavam., love required that they stay with the people they loved ,love demanded that they stay with the their loved ones ,o amor exigia que ficassem com as pessoas que amavam 
 I need a knife on my face,I need a knife on my face.,Eu preciso de uma faca no meu rosto., i need a knife on my face,i need a knife on my face ,eu preciso de uma faca no meu rosto 
 You don't want me to stay?,Do you want me to stay?,Você não quer que eu fique?, you don t want me to stay ,do you want me to stay ,você não quer que eu fique 
 A scientist is a lab bat that is using a microscope.,A scientist in a lab coat is using a microscope.,Um cientista em uma bata de laboratório está usando um microscópio., a scientist is a lab bat that is using a microscope ,a scientist in a lab coat is using a microscope ,um cientista em uma bata de laboratório está usando um microscópio 
" White T-shirt youth, long blue shorts, playing tennis.",A young man in a white shirt? Playing tennis wearing long blue shorts?,Jovem de blusa branca? shorts azuis compridos? jogando tênis., white t shirt youth long blue shorts playing tennis ,a young man in a white shirt playing tennis wearing long blue shorts ,jovem de blusa branca shorts azuis compridos jogando tênis 
 I have a house in Lusaw.,I have a house in Luzhou.,Eu tenho uma casa em Luzhou., i have a house in lusaw ,i have a house in luzhou ,eu tenho uma casa em luzhou 
 You may be stunned!,Perhaps you are being beaten.,Talvez você esteja sendo espancado., you may be stunned ,perhaps you are being beaten ,talvez você esteja sendo espancado 
 Anyone can do this. I live.,"Anyone can do that, he said.","Qualquer um pode fazer isso, ele disse.", anyone can do this i live ,anyone can do that he said ,qualquer um pode fazer isso ele disse 
 I think they realized that nothing should be done at the moment.,I think they realized that nothing should be done at the moment.,Acho que eles perceberam que nada deveria ser feito no momento., i think they realized that nothing should be done at the moment ,i think they realized that nothing should be done at the moment ,acho que eles perceberam que nada deveria ser feito no momento 
 Man standing while wearing a helmet,A man standing while wearing a helmet.,Homem de pé enquanto usava um capacete., man standing while wearing a helmet,a man standing while wearing a helmet ,homem de pé enquanto usava um capacete 
 Few words and many acts,Few words and many actions.,Poucas palavras e muitos atos., few words and many acts,few words and many actions ,poucas palavras e muitos atos 
 Do not stop reading this book for nothing!,Don't stop reading this book for nothing!,Não pare de ler esse livro por nada!, do not stop reading this book for nothing ,don t stop reading this book for nothing ,não pare de ler esse livro por nada 
 The reader just needs to know what to do.,The reader just needs to know what he does.,O leitor só precisa saber o que faz., the reader just needs to know what to do ,the reader just needs to know what he does ,o leitor só precisa saber o que faz 
 Two couples are sitting on a picnic table in a park setting.,Two couples are sitting at a picnic table in a park setting.,Dois casais estão sentados em uma mesa de piquenique em um cenário de parque., two couples are sitting on a picnic table in a park setting ,two couples are sitting at a picnic table in a park setting ,dois casais estão sentados em uma mesa de piquenique em um cenário de parque 
 A young boy practicing martial arts,A young boy practicing martial arts.,Um jovem rapaz praticando artes marciais., a young boy practicing martial arts,a young boy practicing martial arts ,um jovem rapaz praticando artes marciais 
 Briefly,Coming soon.,Brevemente, briefly,coming soon ,brevemente
 North City is serving the Taipei Youth Career Development Center.,North City is providing the Taipei Youth Career Development Center.,North City está servindo a Taipei Youth Career Development Center, north city is serving the taipei youth career development center ,north city is providing the taipei youth career development center ,north city está servindo a taipei youth career development center
 Now it will be with hope!,Now it will be with hope.,Agora será com esperança., now it will be with hope ,now it will be with hope ,agora será com esperança 
 Remember that there is a second year out.,Remember that there is a second year.,Lembre-se que há um segundo ano fora, remember that there is a second year out ,remember that there is a second year ,lembre se que há um segundo ano fora
 You are the biggest person in the city.,You are the greatest person in town!,Você é a maior pessoa da cidade!, you are the biggest person in the city ,you are the greatest person in town ,você é a maior pessoa da cidade 
 It will be colder in Texas,Will be colder in Texas?,Será mais frio no Texas?, it will be colder in texas,will be colder in texas ,será mais frio no texas 
 Can you remember anything?,Can you remember anything?,Você consegue se lembrar de alguma coisa?, can you remember anything ,can you remember anything ,você consegue se lembrar de alguma coisa 
 The cat sat on the fence.,The cat sat on the fence.,O gato sentou-se na cerca., the cat sat on the fence ,the cat sat on the fence ,o gato sentou se na cerca 
 Have better students and former students.,Have the best students and the best alumni.,Tenha melhores alunos e ex-alunos, have better students and former students ,have the best students and the best alumni ,tenha melhores alunos e ex alunos
 Catalysts enable chemical reactions at low temperatures.,Catalysts enable chemical reactions at low temperatures.,Os catalisadores possibilitam reações químicas em baixas temperaturas., catalysts enable chemical reactions at low temperatures ,catalysts enable chemical reactions at low temperatures ,os catalisadores possibilitam reações químicas em baixas temperaturas 
 I knew you would wake up sooner or later.,I knew you would wake up sooner or later!,Eu sabia que você acordaria mais cedo ou mais tarde!, i knew you would wake up sooner or later ,i knew you would wake up sooner or later ,eu sabia que você acordaria mais cedo ou mais tarde 
 You are not capable of this.,You are not capable of that.,Você não é capaz disto, you are not capable of this ,you are not capable of that ,você não é capaz disto
 Automatic document feeders really exist!,Scanners with automatic document feeders do exist.,Scanners com alimentadores automáticos de documentos realmente existem., automatic document feeders really exist ,scanners with automatic document feeders do exist ,scanners com alimentadores automáticos de documentos realmente existem 
 So you will die in the middle of trying to perceive your destiny.,So you will die trying to find your destiny.,Então você vai morrer no meio de tentar perceber o seu destino., so you will die in the middle of trying to perceive your destiny ,so you will die trying to find your destiny ,então você vai morrer no meio de tentar perceber o seu destino 
 He made us stand up and watch him paint for an hour.,He made us stand and watch him paint for an hour.,Ele nos fez ficar de pé e vê-lo pintar por uma hora., he made us stand up and watch him paint for an hour ,he made us stand and watch him paint for an hour ,ele nos fez ficar de pé e vê lo pintar por uma hora 
 Was that a rhetorical question?,Is this rhetorical question?,Foi essa pergunta retórica?, was that a rhetorical question ,is this rhetorical question ,foi essa pergunta retórica 
 The time should be somewhere around 6 o'clock.,The time must be somewhere around six hours.,O tempo devia estar em algum lugar por volta das seis horas., the time should be somewhere around 6 o clock ,the time must be somewhere around six hours ,o tempo devia estar em algum lugar por volta das seis horas 
" At night, the alarm woke up from a deep sleep.","At night, the alarm woke him from a deep sleep.","De noite, o alarme despertou-o de um sono profundo.", at night the alarm woke up from a deep sleep ,at night the alarm woke him from a deep sleep ,de noite o alarme despertou o de um sono profundo 
" D to Cheddar's Annual, a 2 in 6 classification.",Give the Chater's Annual a two out of six rate.,Dê ao Chater's Annual uma classificação de dois em seis., d to cheddar s annual a 2 in 6 classification ,give the chater s annual a two out of six rate ,dê ao chater s annual uma classificação de dois em seis 
 The border was strongly guarded.,The border was heavily guarded.,A fronteira era fortemente vigiada., the border was strongly guarded ,the border was heavily guarded ,a fronteira era fortemente vigiada 
 The whole office was hit by a deafening silence.,The entire office was filled with deafening silence.,Todo o escritório foi atingido por um silêncio ensurdecedor., the whole office was hit by a deafening silence ,the entire office was filled with deafening silence ,todo o escritório foi atingido por um silêncio ensurdecedor 
 The red ribbon connected the food with the bandage.,The red ribbon tied the smuggled food.,A fita vermelha ligava a comida contrabandeada., the red ribbon connected the food with the bandage ,the red ribbon tied the smuggled food ,a fita vermelha ligava a comida contrabandeada 
" To live together means to live together, share goals, have a good relationship.",Living together means sharing goals and having a good relationship.,"Viver juntos significa viver juntos, compartilhar objetivos e ter um bom relacionamento.", to live together means to live together share goals have a good relationship ,living together means sharing goals and having a good relationship ,viver juntos significa viver juntos compartilhar objetivos e ter um bom relacionamento 
 A man holds a string instrument.,A man is holding a stringed instrument.,Um homem fica segurando um instrumento de cordas., a man holds a string instrument ,a man is holding a stringed instrument ,um homem fica segurando um instrumento de cordas 
 What do you think?,What have you done?,O que você fez?, what do you think ,what have you done ,o que você fez 
" Here is another important stage of my life, I would also start",Another important stage of my life would also begin here.,Aqui também outro estágio importante da minha vida também começaria., here is another important stage of my life i would also start,another important stage of my life would also begin here ,aqui também outro estágio importante da minha vida também começaria 
 Blacks talking in the market,Black people talking in the market.,Negros falando no mercado., blacks talking in the market,black people talking in the market ,negros falando no mercado 
 The Third Wave of Industrial Revolution,The third wave of industrial revolution.,A terceira onda de revolução industrial, the third wave of industrial revolution,the third wave of industrial revolution ,a terceira onda de revolução industrial
 Two women in white dresses are passing by a picture of people playing golf.,Two women in white dresses are looking at a picture of people playing golf.,Duas mulheres em vestidos brancos estão passando por uma foto de pessoas jogando golfe., two women in white dresses are passing by a picture of people playing golf ,two women in white dresses are looking at a picture of people playing golf ,duas mulheres em vestidos brancos estão passando por uma foto de pessoas jogando golfe 
 Michael opened a browser and went to an anonymous search engine.,Michael opened the browser and navigated through an anonymous search engine.,Michael abriu um navegador e navegou para um mecanismo de pesquisa anônimo., michael opened a browser and went to an anonymous search engine ,michael opened the browser and navigated through an anonymous search engine ,michael abriu um navegador e navegou para um mecanismo de pesquisa anônimo 
 It seemed that you were upset with me.,It looked like you were upset with me.,Parecia que estavas chateada comigo., it seemed that you were upset with me ,it looked like you were upset with me ,parecia que estavas chateada comigo 
 Motorcycles are parked behind a fence on a busy street.,Motorcycles are parked on a busy street behind a fence.,Motocicletas estão estacionadas atrás de uma cerca em uma rua movimentada., motorcycles are parked behind a fence on a busy street ,motorcycles are parked on a busy street behind a fence ,motocicletas estão estacionadas atrás de uma cerca em uma rua movimentada 
 A man cooks chicken in the barbecue while others like food in the background.,A man cooks chicken on the grill while the others enjoy the food in the backyard.,Um homem cozinha frango na churrasqueira enquanto outros gostam de comida ao fundo., a man cooks chicken in the barbecue while others like food in the background ,a man cooks chicken on the grill while the others enjoy the food in the backyard ,um homem cozinha frango na churrasqueira enquanto outros gostam de comida ao fundo 
" A woman in a black hat, standing behind a doll cart.",A woman with a black hat standing behind a doll stroller.,Uma mulher em um chapéu negro em pé atrás de um carrinho de boneca., a woman in a black hat standing behind a doll cart ,a woman with a black hat standing behind a doll stroller ,uma mulher em um chapéu negro em pé atrás de um carrinho de boneca 
 Bébé taking out a bitch from the verse,Baby taking a nap in the crib.,Bebê tirando uma soneca no berço., bébé taking out a bitch from the verse,baby taking a nap in the crib ,bebê tirando uma soneca no berço 
 Why do you say that?,Why do you say that?,Por que você diz isso?, why do you say that ,why do you say that ,por que você diz isso 
 A child watering plants in a backyard,A child is watering the plants in the backyard.,uma criança regar plantas em um quintal, a child watering plants in a backyard,a child is watering the plants in the backyard ,uma criança regar plantas em um quintal
 A mother and her two children sit down to rest.,A mother and her two children sit down to rest.,Uma mãe e seus dois filhos sentam-se para descansar, a mother and her two children sit down to rest ,a mother and her two children sit down to rest ,uma mãe e seus dois filhos sentam se para descansar
 Children and adults swim in the big pool with a red ladder.,Children and adults swim in the large pool with a red ladder.,Crianças e adultos nadam na grande piscina com escada vermelha, children and adults swim in the big pool with a red ladder ,children and adults swim in the large pool with a red ladder ,crianças e adultos nadam na grande piscina com escada vermelha
 Classify the zero point of conflict of views.,Rate a point of view with zero conflict.,Classifique um zero ponto de conflito de visões, classify the zero point of conflict of views ,rate a point of view with zero conflict ,classifique um zero ponto de conflito de visões
 The man is pushing his blue-painted snack cart down the street.,A man is pushing his blue-painted snack cart down the street.,Um homem está empurrando seu carrinho de lanche pintado de azul pela rua., the man is pushing his blue painted snack cart down the street ,a man is pushing his blue painted snack cart down the street ,um homem está empurrando seu carrinho de lanche pintado de azul pela rua 
 I need one more.,I need one more.,Eu preciso de mais um., i need one more ,i need one more ,eu preciso de mais um 
 A boy jumps a rock in a stream.,A boy jumps from the rock into a stream.,Um garoto salta uma pedra em um riacho., a boy jumps a rock in a stream ,a boy jumps from the rock into a stream ,um garoto salta uma pedra em um riacho 
 People walk down a path in a village in India.,People walk through a village path in India.,As pessoas andam por um caminho em uma aldeia na Índia., people walk down a path in a village in india ,people walk through a village path in india ,as pessoas andam por um caminho em uma aldeia na índia 
 Two girls who catch in portraits of a laziness in a crowd of people.,Two young girls are holding pictures of a sloth in the middle of the crowd.,Duas raparigas que prendem retratos de uma preguiça em uma multidão dos povos., two girls who catch in portraits of a laziness in a crowd of people ,two young girls are holding pictures of a sloth in the middle of the crowd ,duas raparigas que prendem retratos de uma preguiça em uma multidão dos povos 
" Apparently, these are the little balls that make the soup so good.","Apparently, the dumplings that make the stew so good.","Aparentemente, são os bolinhos que fazem com que o ensopado seja tão bom.", apparently these are the little balls that make the soup so good ,apparently the dumplings that make the stew so good ,aparentemente são os bolinhos que fazem com que o ensopado seja tão bom 
" Please, wallet.","Please, postman.","Por favor, carteiro.", please wallet ,please postman ,por favor carteiro 
