,transcription,sentence,translation,transcription_clean,sentence_clean,translation_clean
173, Você planejou sua atividade de fim de semana ainda?,Você planejou sua atividade de fim de semana ainda?,Did you plan your weekend activity?, você planejou sua atividade de fim de semana ainda ,você planejou sua atividade de fim de semana ainda ,did you plan your weekend activity 
174, As vacinas podem fornecer alguma proteção durante a temporada de grita.,As vacinas podem fornecer alguma proteção durante a temporada de gripe.,Vaccines can provide some protection during the flu season., as vacinas podem fornecer alguma proteção durante a temporada de grita ,as vacinas podem fornecer alguma proteção durante a temporada de gripe ,vaccines can provide some protection during the flu season 
175, O homem olhou para o Anjo estureto.,O homem olhou para o anjo surpreso.,The surprised man looked at the angel., o homem olhou para o anjo estureto ,o homem olhou para o anjo surpreso ,the surprised man looked at the angel 
176, Ele não poderia ajudá-lo.,Ele não podia ajudá-lo.,He couldn't help it., ele não poderia ajudá lo ,ele não podia ajudá lo ,he couldn t help it 
177, Minha esposa vai ficar comigo a qualquer momento.,Minha esposa vai ficar comigo a qualquer momento.,My wife will be with me at anytime., minha esposa vai ficar comigo a qualquer momento ,minha esposa vai ficar comigo a qualquer momento ,my wife will be with me at anytime 
178, Ela é acusada de roubar uma loja.,Ela é acusada de roubar um relógio.,She is accused of stealing a watch., ela é acusada de roubar uma loja ,ela é acusada de roubar um relógio ,she is accused of stealing a watch 
179, Um criança está usando uma mágica de sorda ou amarela em um banho distinto.,Uma criança está usando uma máscara de snorkel amarela em um banho de espuma,A child is wearing a yellow snorkel mask in a bubble bath., um criança está usando uma mágica de sorda ou amarela em um banho distinto ,uma criança está usando uma máscara de snorkel amarela em um banho de espuma,a child is wearing a yellow snorkel mask in a bubble bath 
180," No meio profissor sempre de agir em suas pupilhas, por isso estou usando o capacete.",Meu professor sempre joga giz em suas pupilas? por isso estou usando um capacete.,Does my teacher always throw chalk on his eyes? That's why I'm wearing a helmet., no meio profissor sempre de agir em suas pupilhas por isso estou usando o capacete ,meu professor sempre joga giz em suas pupilas por isso estou usando um capacete ,does my teacher always throw chalk on his eyes that s why i m wearing a helmet 
181, Fino foi explicado.,Se não for explicado,If not explained., fino foi explicado ,se não for explicado,if not explained 
182, E eu vou a postar.,Eu vou apostar.,I'll bet., e eu vou a postar ,eu vou apostar ,i ll bet 
183, Essa é uma delampe à ginerente.,Essa é uma desvantagem inerente.,This is an inherent disadvantage., essa é uma delampe à ginerente ,essa é uma desvantagem inerente ,this is an inherent disadvantage 
184," Não me menina, está bebendo de um bebido.",Uma menina está bebendo de um bebedouro.,A girl is drinking from a water cooler., não me menina está bebendo de um bebido ,uma menina está bebendo de um bebedouro ,a girl is drinking from a water cooler 
185, Encontro calendário para um beijo antes de morrer.,Encontre o calendário para um beijo antes de morrer.,Find the calendar for a kiss before you die., encontro calendário para um beijo antes de morrer ,encontre o calendário para um beijo antes de morrer ,find the calendar for a kiss before you die 
186, Você sabe.,Você sabe,You know., você sabe ,você sabe,you know 
187, Mas eu não tenho isso.,Mas eu não tenho isso.,But I don't have that., mas eu não tenho isso ,mas eu não tenho isso ,but i don t have that 
188, O medo mantém a vinha.,O medo mantém a vinha.,The fear kept her alive., o medo mantém a vinha ,o medo mantém a vinha ,the fear kept her alive 
189, As três garotas estão sentadas no 7.,As três garotas estão sentadas no set.,The three girls are sitting on the set., as três garotas estão sentadas no 7 ,as três garotas estão sentadas no set ,the three girls are sitting on the set 
190, E close de uma menina em um bavão.,Um close de uma menina em um balanço.,A close-up of a girl on a swing., e close de uma menina em um bavão ,um close de uma menina em um balanço ,a close up of a girl on a swing 
191," Ele não era um trabalhador, mas ele tinha seu senho.","Ele não era um trabalhador, mas ele tinha seu sangue.","He was not a worker, but he had his blood.", ele não era um trabalhador mas ele tinha seu senho ,ele não era um trabalhador mas ele tinha seu sangue ,he was not a worker but he had his blood 
192, Um jovem está vendendo brinquedos estranhos e futas ao lado de uma rua.,Uma jovem está vendendo brinquedos estranhos e frutas ao lado de uma rua.,A young woman is selling weird toys and fruits alongside the street., um jovem está vendendo brinquedos estranhos e futas ao lado de uma rua ,uma jovem está vendendo brinquedos estranhos e frutas ao lado de uma rua ,a young woman is selling weird toys and fruits alongside the street 
193," Adicionar o álbum de Benchman, a minha lista de reprodução da minha vida.",adicionar o álbum de bernd begemann à minha lista de reprodução da minha vida,Add Bernd Begemann's album to the playlist of my life., adicionar o álbum de benchman a minha lista de reprodução da minha vida ,adicionar o álbum de bernd begemann à minha lista de reprodução da minha vida,add bernd begemann s album to the playlist of my life 
194, Mas ó também é uma razão social.,Mas há também uma razão social.,But there is also a social reason., mas ó também é uma razão social ,mas há também uma razão social ,but there is also a social reason 
195, Quando o nosso avião lecola novamente...,Quando o nosso avião decola novamente?,When does our plane take off again?, quando o nosso avião lecola novamente ,quando o nosso avião decola novamente ,when does our plane take off again 
196, Olha como profundo esse quenio!,"Uau, olha o quão profundo é esse canyon!","Wow, look how deep is this canyon!", olha como profundo esse quenio ,uau olha o quão profundo é esse canyon ,wow look how deep is this canyon 
197, Um homem em uma máscara na parte de trás de um veículo de serviço.,Um homem em uma máscara na parte de trás de um veículo de serviço,A man in a mask in the back of a service vehicle., um homem em uma máscara na parte de trás de um veículo de serviço ,um homem em uma máscara na parte de trás de um veículo de serviço,a man in a mask in the back of a service vehicle 
198, Um entregado limpa mesas e um restaurante.,Um empregado limpa mesas em um restaurante.,An employee cleans tables in a restaurant., um entregado limpa mesas e um restaurante ,um empregado limpa mesas em um restaurante ,an employee cleans tables in a restaurant 
199, Uma fila esperando para entrar em um fio.,uma fila esperando para entrar em um filme,A queue waiting to get to watch a movie., uma fila esperando para entrar em um fio ,uma fila esperando para entrar em um filme,a queue waiting to get to watch a movie 
200, O lançamento era da bomba Tomi Kainheir o chama teve implicações devastadores.,O lançamento aéreo da bomba atômica em Hiroshima teve implicações devastadoras.,The atomic bomb aerial launch in Hiroshima had devastating implications., o lançamento era da bomba tomi kainheir o chama teve implicações devastadores ,o lançamento aéreo da bomba atômica em hiroshima teve implicações devastadoras ,the atomic bomb aerial launch in hiroshima had devastating implications 
201, Um pássaro branco estava andando fora da superfície de água.,Um pássaro branco está voando fora da superfície da água.,A white bird is flying over the water’s surface., um pássaro branco estava andando fora da superfície de água ,um pássaro branco está voando fora da superfície da água ,a white bird is flying over the water s surface 
202, O tronco de um mistato.,O tronco de uma estátua.,The trunk of a statue., o tronco de um mistato ,o tronco de uma estátua ,the trunk of a statue 
203, Uma pessoa e um logo corredor está andando.,Uma pessoa em um longo corredor está andando,A person is walking in a long corridor., uma pessoa e um logo corredor está andando ,uma pessoa em um longo corredor está andando,a person is walking in a long corridor 
204, O homem se santa e lê o jornal e o tapete de lavanderia.,Um homem se senta e lê o jornal em um tapete de lavanderia.,A man sits and reads the newspaper on a laundry rug., o homem se santa e lê o jornal e o tapete de lavanderia ,um homem se senta e lê o jornal em um tapete de lavanderia ,a man sits and reads the newspaper on a laundry rug 
205, Um homem usa ferramentas para trabalhar em um portão mecânico.,Um homem usa ferramentas para trabalhar em um portão mecânico.,A man uses tools to work on an electric gate., um homem usa ferramentas para trabalhar em um portão mecânico ,um homem usa ferramentas para trabalhar em um portão mecânico ,a man uses tools to work on an electric gate 
206, Isso deve obviamente ser um desafio para ela.,Isso deve obviamente ser um desafio para ela.,This obviously must be a challenge for her., isso deve obviamente ser um desafio para ela ,isso deve obviamente ser um desafio para ela ,this obviously must be a challenge for her 
207, Um grupo de estudantes está sentado no campus.,Um grupo de estudantes está sentado no campus.,A group of students is sitting down on campus., um grupo de estudantes está sentado no campus ,um grupo de estudantes está sentado no campus ,a group of students is sitting down on campus 
208, Ele gostou da água em seu copo.,Ele gostou da água em seu copo.,He enjoyed the water in his glass., ele gostou da água em seu copo ,ele gostou da água em seu copo ,he enjoyed the water in his glass 
209, Carrem não virais.,Karen não virá hoje.,Karen is not coming today., carrem não virais ,karen não virá hoje ,karen is not coming today 
210, Esta é a imagem de seis crianças asiáficas com pandeiros.,Esta é a imagem de seis crianças asiáticas com pandeiros,This is the image of six Asian children with tambourines., esta é a imagem de seis crianças asiáficas com pandeiros ,esta é a imagem de seis crianças asiáticas com pandeiros,this is the image of six asian children with tambourines 
211, um homem e seu filho no lago.,Um homem e seu filho no lago,A man and his son at the lake., um homem e seu filho no lago ,um homem e seu filho no lago,a man and his son at the lake 
212, Eu sou tão presionheiro quando você.,Eu sou tão prisioneiro quanto você.,I am as much a prisoner as you., eu sou tão presionheiro quando você ,eu sou tão prisioneiro quanto você ,i am as much a prisoner as you 
213, Eu pudecer o diorário e os tipiões.,Eu preciso de horários de filmes,I need the movie showing time., eu pudecer o diorário e os tipiões ,eu preciso de horários de filmes,i need the movie showing time 
214, Dois homens que jogam o Frisb e a Warlibre em um campo.,Dois homens que jogam o frisbee ao ar livre em um campo.,Two men playing frisbee in a field outdoors., dois homens que jogam o frisb e a warlibre em um campo ,dois homens que jogam o frisbee ao ar livre em um campo ,two men playing frisbee in a field outdoors 
215, Até das da cruz está o dia-a-vo.,Atrás da cruz está o diabo.,Behind the cross is the devil., até das da cruz está o dia a vo ,atrás da cruz está o diabo ,behind the cross is the devil 
216, É um clube privado apenas para as pessoas mais respeitáveis.,"É um clube privado, apenas para as pessoas mais respeitáveis.","It’s a private club, only accessible to the most respectable people.", é um clube privado apenas para as pessoas mais respeitáveis ,é um clube privado apenas para as pessoas mais respeitáveis ,it s a private club only accessible to the most respectable people 
217, Óculos espessos ajudaram no aler a impressão.,Óculos espessos ajudaram-no a ler a impressão.,Thick glasses helped him to read the printout., óculos espessos ajudaram no aler a impressão ,óculos espessos ajudaram no a ler a impressão ,thick glasses helped him to read the printout 
218," Mantenha nos longe de maio, poeira e lama a gosto.",Mantenha-nos longe de maio poeira e lama agosto.,Keep us away from dusty May and muddy August., mantenha nos longe de maio poeira e lama a gosto ,mantenha nos longe de maio poeira e lama agosto ,keep us away from dusty may and muddy august 
219, Algumas crianças estão jogando em um forte.,Algumas crianças estão jogando em um forte.,Some children are playing in a fort., algumas crianças estão jogando em um forte ,algumas crianças estão jogando em um forte ,some children are playing in a fort 
220, Uma competição em cavalos em no dia bonito entre o verde.,Uma competição em cavalos em um dia bonito entre o verde.,A horse's competition on a beautiful day among the green., uma competição em cavalos em no dia bonito entre o verde ,uma competição em cavalos em um dia bonito entre o verde ,a horse s competition on a beautiful day among the green 
221," Construído o Janeiro, desta monônio, 1917, o monumento está se lembrando agora seu sem canário.",Construído janeiro décimo nono? dezenove dezessete? o monumento está celebrando agora o seu centenário.,"Building January nineteenth? Nineteen seventeen? The monument is now celebrating, it's centenary.", construído o janeiro desta monônio 1917 o monumento está se lembrando agora seu sem canário ,construído janeiro décimo nono dezenove dezessete o monumento está celebrando agora o seu centenário ,building january nineteenth nineteen seventeen the monument is now celebrating it s centenary 
222, As pessoas tomam missões de aqui que boxem no parque.,As pessoas tomam lições de kickboxing no parque.,People take kickboxing lessons at the park., as pessoas tomam missões de aqui que boxem no parque ,as pessoas tomam lições de kickboxing no parque ,people take kickboxing lessons at the park 
223, 5 trabalhadores de a condução de cinco em capacetes e coletes amarelos estão ocupados no trabalho.,Cinco trabalhadores da construção civil em capacetes e coletes amarelos estão ocupados no trabalho.,Five construction workers in yellow helmets and vests are busy at work., 5 trabalhadores de a condução de cinco em capacetes e coletes amarelos estão ocupados no trabalho ,cinco trabalhadores da construção civil em capacetes e coletes amarelos estão ocupados no trabalho ,five construction workers in yellow helmets and vests are busy at work 
224, Sem as fortes não precisam ser difíceis de lembrar.,Senhas fortes não precisam ser difíceis de lembrar.,Strong passwords don't have to be difficult to remember., sem as fortes não precisam ser difíceis de lembrar ,senhas fortes não precisam ser difíceis de lembrar ,strong passwords don t have to be difficult to remember 
225, A caneta é mais forte do que a espada.,A caneta é mais forte do que a espada.,The pen is stronger than the sword., a caneta é mais forte do que a espada ,a caneta é mais forte do que a espada ,the pen is stronger than the sword 
226, É sábio compreender o todo.,É sábio compreender o todo.,It's wise to understand the whole., é sábio compreender o todo ,é sábio compreender o todo ,it s wise to understand the whole 
227, Ele estava tão longe que seu rosto nem era visível.,Ele estava tão longe que seu rosto nem era visível.,He was so far away that his face wasn't even visible., ele estava tão longe que seu rosto nem era visível ,ele estava tão longe que seu rosto nem era visível ,he was so far away that his face wasn t even visible 
228, Asadas patatas Temos mais plantas,Acho melhor eu ir embora.,I think I should go., asadas patatas temos mais plantas,acho melhor eu ir embora ,i think i should go 
229, Um chá de limão pode ser ótimo para beber nesse verão.,Um chá de limão pode ser ótimo para beber neste verão.,A lemon tea may be a great choice to drink this summer., um chá de limão pode ser ótimo para beber nesse verão ,um chá de limão pode ser ótimo para beber neste verão ,a lemon tea may be a great choice to drink this summer 
230, Fumarem nocais onde é proibido por razões de segurança e dinheiro.,Fumar em locais onde é proibido por razões de segurança e higiene.,Smoking in places where it's prohibited for safety and hygiene reasons., fumarem nocais onde é proibido por razões de segurança e dinheiro ,fumar em locais onde é proibido por razões de segurança e higiene ,smoking in places where it s prohibited for safety and hygiene reasons 
231, Um homem jogando para painelom é o com óculos nonaris.,Um homem jogando Papai Noel com óculos no nariz.,A man playing Santa Claus with his glasses over his nose., um homem jogando para painelom é o com óculos nonaris ,um homem jogando papai noel com óculos no nariz ,a man playing santa claus with his glasses over his nose 
232, Pense no que você gostaria de melhorar em sua versão personalizada.,Pense no que você gostaria de melhorar em sua versão personalizada.,Think about what you would like to improve in your customized version., pense no que você gostaria de melhorar em sua versão personalizada ,pense no que você gostaria de melhorar em sua versão personalizada ,think about what you would like to improve in your customized version 
233, Mas com?,Mas como?,But how?, mas com ,mas como ,but how 
234, Muito melhor de seu velho.,"""Muito melhor?"" disse o velho.","""Much better?"" said the old man.", muito melhor de seu velho , muito melhor disse o velho , much better said the old man 
235, A viagem estava chegando ao fim.,A viagem estava chegando ao fim,The trip was coming to an end, a viagem estava chegando ao fim ,a viagem estava chegando ao fim,the trip was coming to an end
236, Parece parece ser um bom destino.,Paris parecer ser um bom destino.,Paris seems to be a good destination., parece parece ser um bom destino ,paris parecer ser um bom destino ,paris seems to be a good destination 
237, Não é possível voltar pelos caminhos agitados.,Não é possível voltar pelos caminhos agitados.,It's not possible to go back to rough paths., não é possível voltar pelos caminhos agitados ,não é possível voltar pelos caminhos agitados ,it s not possible to go back to rough paths 
238, A Tailand acabou sendo um feriado muito satisfatório.,A Tailândia acabou sendo um feriado muito satisfatório.,Thailand turned out to be a satisfying holiday., a tailand acabou sendo um feriado muito satisfatório ,a tailândia acabou sendo um feriado muito satisfatório ,thailand turned out to be a satisfying holiday 
239, Uma tigela de arroz.,Uma tigela de arroz.,A rice bowl., uma tigela de arroz ,uma tigela de arroz ,a rice bowl 
240, Não havia como todos saberem sobre alquimia.,Não havia como todos saberem sobre alquimia.,It wasn't possible for everyone to know about alchemy., não havia como todos saberem sobre alquimia ,não havia como todos saberem sobre alquimia ,it wasn t possible for everyone to know about alchemy 
241, Isto é pra você.,Isto é para você.,This is for you., isto é pra você ,isto é para você ,this is for you 
242," Eu quero ver Mary Go around por Gary Nichols do Grill Shark, por favor.",Eu quero ouvir Merry Go Round por Gary Nichols do Groove Shark por favor.,"I want to hear Merry Go Round by Gary Nichols from Groove Shark, please.", eu quero ver mary go around por gary nichols do grill shark por favor ,eu quero ouvir merry go round por gary nichols do groove shark por favor ,i want to hear merry go round by gary nichols from groove shark please 
243, 4 mulheres que jogam o hockey e lutam sob um disco,Quatro mulheres que jogam o hóquei lutam sobre um disco.,Four women playing hockey fight over a puck., 4 mulheres que jogam o hockey e lutam sob um disco,quatro mulheres que jogam o hóquei lutam sobre um disco ,four women playing hockey fight over a puck 
244, em contra-fímios animados na área.,Encontre filmes animados na área.,Find animated movies in the area., em contra fímios animados na área ,encontre filmes animados na área ,find animated movies in the area 
245, O homem realiu uma jacquita vermelha e está dormindo lá fora.,Um homem velho em uma jaqueta vermelha está dormindo lá fora.,An old man in a red jacket is sleeping outside., o homem realiu uma jacquita vermelha e está dormindo lá fora ,um homem velho em uma jaqueta vermelha está dormindo lá fora ,an old man in a red jacket is sleeping outside 
246, Um homem está cantando em um microfone e outro homem está tocando violão.,Um homem está cantando em um microfone e outro homem está tocando violão.,A man is singing with a microphone and another man is playing the guitar., um homem está cantando em um microfone e outro homem está tocando violão ,um homem está cantando em um microfone e outro homem está tocando violão ,a man is singing with a microphone and another man is playing the guitar 
247, 3 colégas de equipe na ação em um campo de grama,Três colegas de equipe na ação em um campo de grama.,Three teammates in action in a grass field., 3 colégas de equipe na ação em um campo de grama,três colegas de equipe na ação em um campo de grama ,three teammates in action in a grass field 
248, Qual será o tempo aqui?,Qual será o tempo aqui?,How long will you be here?, qual será o tempo aqui ,qual será o tempo aqui ,how long will you be here 
249, Eu iria explicar isso na classe hoje.,Eu irei explicar isso na classe hoje.,I will explain this in class today., eu iria explicar isso na classe hoje ,eu irei explicar isso na classe hoje ,i will explain this in class today 
250, Esta pessoa está escala ao lado de uma montanha.,Esta pessoa está escalando o lado de uma montanha.,This person is climbing the side of a mountain., esta pessoa está escala ao lado de uma montanha ,esta pessoa está escalando o lado de uma montanha ,this person is climbing the side of a mountain 
251, Você acha que esteve interialechado a você manter isso?,Você acha que Steven teria deixado você manter isso?,Do you think Steven would have allowed you to keep this?, você acha que esteve interialechado a você manter isso ,você acha que steven teria deixado você manter isso ,do you think steven would have allowed you to keep this 
252," Infelizmente, meus sonhos se trainaram sobre o esquilo, pode nunca acontecer.",Infelizmente! meu sonho de se tornar um sussurro de esquilo pode nunca acontecer.,Unfortunately! My dream of becoming a squirrel whisperer may never happen., infelizmente meus sonhos se trainaram sobre o esquilo pode nunca acontecer ,infelizmente meu sonho de se tornar um sussurro de esquilo pode nunca acontecer ,unfortunately my dream of becoming a squirrel whisperer may never happen 
253," Até mesmo, quand Oincolocar Love cos o se imitou",Até mesmo Wenchuang tem que colocar novos elementos.,Even Wenchuang has to add new elements., até mesmo quand oincolocar love cos o se imitou,até mesmo wenchuang tem que colocar novos elementos ,even wenchuang has to add new elements 
254, Está constantemente brigando.,Estar constantemente brigando,Constantly fighting., está constantemente brigando ,estar constantemente brigando,constantly fighting 
255, Semei a salsa em maio e durante todo o ano você aterar.,Semeie a salsa em maio e durante todo o ano você a terá.,Plant parsley in May and you will have it throughout the year., semei a salsa em maio e durante todo o ano você aterar ,semeie a salsa em maio e durante todo o ano você a terá ,plant parsley in may and you will have it throughout the year 
256, Estou tão feliz!,Eu estou tão feliz.,I'm so happy., estou tão feliz ,eu estou tão feliz ,i m so happy 
257," Por favor, carteiro.",Por favor carteiro,Please postman., por favor carteiro ,por favor carteiro,please postman 
258, Um homem olha para uma pilha de melões carregados em um veículo.,Um homem olha para uma pilha de melões carregados em um veículo,A man looks to a pile of melons being carried by a vehicle., um homem olha para uma pilha de melões carregados em um veículo ,um homem olha para uma pilha de melões carregados em um veículo,a man looks to a pile of melons being carried by a vehicle 
259," Reservar uma mesa em Big City, Borito, em Tower City.",reservar uma mesa em Big City Burrito em Tower City,Book a table at the Big City Burrito in Tower City., reservar uma mesa em big city borito em tower city ,reservar uma mesa em big city burrito em tower city,book a table at the big city burrito in tower city 
260, Os quatro músicos estão se preparando para tocar seus instrumentos.,Os quatro músicos estão se preparando para tocar seus instrumentos.,The four musicians are getting ready to play their instruments., os quatro músicos estão se preparando para tocar seus instrumentos ,os quatro músicos estão se preparando para tocar seus instrumentos ,the four musicians are getting ready to play their instruments 
261, 2 meninas que desenham veneiros com gis no lado do concreto,Duas meninas que desenham veleiros com giz no lado do concreto.,Two girls draw sailboats with chalk on the side of the concrete., 2 meninas que desenham veneiros com gis no lado do concreto,duas meninas que desenham veleiros com giz no lado do concreto ,two girls draw sailboats with chalk on the side of the concrete 
262, Uma família indiana está unida em um corpo de água olhando para fora.,Uma família indiana está unida em um corpo de água olhando para fora.,An Indian family is united in a waterbody looking out of it., uma família indiana está unida em um corpo de água olhando para fora ,uma família indiana está unida em um corpo de água olhando para fora ,an indian family is united in a waterbody looking out of it 
263," Durante os testes de entrada, todos os candidatos terão acesso aos vestiários.","Durante os testes de entrada, todos os candidatos terão acesso aos vestiários.","During the tests, all candidates will have access to the locker rooms.", durante os testes de entrada todos os candidatos terão acesso aos vestiários ,durante os testes de entrada todos os candidatos terão acesso aos vestiários ,during the tests all candidates will have access to the locker rooms 
264, Quem criou o universo?,Quem criou o universo?,Who created the universe?, quem criou o universo ,quem criou o universo ,who created the universe 
265, às vezes preciso de dinheiro.,Às vezes preciso de dinheiro,Sometimes I need money., às vezes preciso de dinheiro ,às vezes preciso de dinheiro,sometimes i need money 
266," Então, nós quebramos em uma noite.",Então nós quebramos em uma noite.,So we broke it in one night., então nós quebramos em uma noite ,então nós quebramos em uma noite ,so we broke it in one night 
267, Apenas se aprece e chega aqui.,Apenas se apresse e chegue aqui.,Hurry up and get here., apenas se aprece e chega aqui ,apenas se apresse e chegue aqui ,hurry up and get here 
268, A mulher está posando de salto alto e uma escada enferrujada.,A mulher está posando de salto alto em uma escada enferrujada,The woman is posing in high heels on a rusty ladder., a mulher está posando de salto alto e uma escada enferrujada ,a mulher está posando de salto alto em uma escada enferrujada,the woman is posing in high heels on a rusty ladder 
269, Lombo em que remo um caía que ao longo da costa de um rio.,Um homem que rema um caiaque ao longo da costa de um rio.,A man paddling a kayak along the river's edge., lombo em que remo um caía que ao longo da costa de um rio ,um homem que rema um caiaque ao longo da costa de um rio ,a man paddling a kayak along the river s edge 
270, É só que nunca tive.,É só que nunca tive.,It's just that I never had., é só que nunca tive ,é só que nunca tive ,it s just that i never had 
271, Tocar enquanto esperávamos por si pelo ola sinovímio.,Tocar Enquanto esperávamos por Sippie Wallace no Vimeo,Play while we wait for Sippie Wallace on Vimeo., tocar enquanto esperávamos por si pelo ola sinovímio ,tocar enquanto esperávamos por sippie wallace no vimeo,play while we wait for sippie wallace on vimeo 
272, Eu não quero te apreçar.,Eu não quero te apressar.,I don't want to rush you., eu não quero te apreçar ,eu não quero te apressar ,i don t want to rush you 
273, O picnic foi arruinado por uma banda marcial.,O piquenique foi arruinado por uma banda marcial.,The picnic was ruined by a martial band., o picnic foi arruinado por uma banda marcial ,o piquenique foi arruinado por uma banda marcial ,the picnic was ruined by a martial band 
274, Esse cara roubou meu relógio.,Esse cara roubou meu relógio.,This guy stole my watch., esse cara roubou meu relógio ,esse cara roubou meu relógio ,this guy stole my watch 
275, São um parte de olhar esvagarosos.,São um par de olhares vagarosos,They are a pair of empty eyes., são um parte de olhar esvagarosos ,são um par de olhares vagarosos,they are a pair of empty eyes 
276," Enquanto observava, o gato lavo as orelhas e depois se acomodou para dormir.","Enquanto observava?, o gato lavou as orelhas e depois se acomodou para dormir.","While watching, the cat licked its ears and then settled down to sleep.", enquanto observava o gato lavo as orelhas e depois se acomodou para dormir ,enquanto observava o gato lavou as orelhas e depois se acomodou para dormir ,while watching the cat licked its ears and then settled down to sleep 
277, o amor e frutífero de alas.,O amor é frutífero de alarmes,Love is full of false alarms., o amor e frutífero de alas ,o amor é frutífero de alarmes,love is full of false alarms 
278, Nomem seu filho passam por um alocador de vídeos adústicos.,Um homem e seu filho passam por uma locadora de vídeos adultos.,A man and his son go through an adult video store., nomem seu filho passam por um alocador de vídeos adústicos ,um homem e seu filho passam por uma locadora de vídeos adultos ,a man and his son go through an adult video store 
279, Eu não quero.,Eu não quero.,I don’t want it., eu não quero ,eu não quero ,i don t want it 
280, elementos da química.,Elementos da química.,Chemical elements., elementos da química ,elementos da química ,chemical elements 
281," 2 homens vestindo óculos, falando.",Dois homens vestindo óculos? falando.,Are two men wearing glasses while talking?, 2 homens vestindo óculos falando ,dois homens vestindo óculos falando ,are two men wearing glasses while talking 
282, Há um monte de caçador e de autógrafos na frente.,Há um monte de caçadores de autógrafos na frente.,There is a lot of autograph hunters upfront., há um monte de caçador e de autógrafos na frente ,há um monte de caçadores de autógrafos na frente ,there is a lot of autograph hunters upfront 
283, Compromisso de longo prazo.,Compromisso de longo prazo,Long-term commitment., compromisso de longo prazo ,compromisso de longo prazo,long term commitment 
284, 2 homens estão rindo na frente de uma luz.,Dois homens estão rindo na frente de uma luz.,Two men are laughing in front of the light., 2 homens estão rindo na frente de uma luz ,dois homens estão rindo na frente de uma luz ,two men are laughing in front of the light 
285, Muito boa tarde!,Muito boa tarde.,Good afternoon., muito boa tarde ,muito boa tarde ,good afternoon 
286, Um tambor ser do tocado com dois pals.,Um tambor sendo tocado com dois paus,A drum being played with two sticks., um tambor ser do tocado com dois pals ,um tambor sendo tocado com dois paus,a drum being played with two sticks 
287, Digame a previsão do tempo aqui em 7 anos.,Diga-me a previsão do tempo aqui em sete anos,Tell me the weather forecast from here in seven years., digame a previsão do tempo aqui em 7 anos ,diga me a previsão do tempo aqui em sete anos,tell me the weather forecast from here in seven years 
288, Um homem morrendo jogando rugby.,Um homem moreno jogando rugby.,A black man playing rugby., um homem morrendo jogando rugby ,um homem moreno jogando rugby ,a black man playing rugby 
289, Parece velho e sapio.,Parece velho e sábio.,He seems old and wise., parece velho e sapio ,parece velho e sábio ,he seems old and wise 
290," O homem novo, uma mulher que desgastou a dança vermelha.",Um homem novo e uma mulher que desgastam a dança vermelha.,A young man and woman are dancing and wearing Tango clothes., o homem novo uma mulher que desgastou a dança vermelha ,um homem novo e uma mulher que desgastam a dança vermelha ,a young man and woman are dancing and wearing tango clothes 
291, Lágue essa cadeira!,Largue essa cadeira!,Drop that chair!, lágue essa cadeira ,largue essa cadeira ,drop that chair 
292, Eles podem fazer café da manhã.,Eles podem fazer café da manhã,They can make breakfast., eles podem fazer café da manhã ,eles podem fazer café da manhã,they can make breakfast 
293, Essa página foi editada pela última vez.,Esta página foi editada pela última vez.,This page was edited for the last time., essa página foi editada pela última vez ,esta página foi editada pela última vez ,this page was edited for the last time 
294, Todas as vangueiras estão por hectadas ao cubo da feita o uso.,Todas as mangueiras estão conectadas ao cubo defeituoso.,All hoses are connected to the defective hub., todas as vangueiras estão por hectadas ao cubo da feita o uso ,todas as mangueiras estão conectadas ao cubo defeituoso ,all hoses are connected to the defective hub 
295," Um homem ou mulher sentado em uma mesa, tem bebidas conversas profundas.",Um homem e uma mulher sentados em uma mesa com bebidas e conversas profundas.,A man and a woman are sitting at the table having deep conversations and drinks., um homem ou mulher sentado em uma mesa tem bebidas conversas profundas ,um homem e uma mulher sentados em uma mesa com bebidas e conversas profundas ,a man and a woman are sitting at the table having deep conversations and drinks 
296, esperar para ouvir a mãe da garota no rádio seria o melhor,Esperar para ouvir a mãe da garota no rádio seria o melhor.,Wait to hear the girl's mother on the radio would be the best., esperar para ouvir a mãe da garota no rádio seria o melhor,esperar para ouvir a mãe da garota no rádio seria o melhor ,wait to hear the girl s mother on the radio would be the best 
297," sotto a Gaza圣grima em Across, intertwinha da capitalista do Belo eu não consegui luxurious e estreme!",Ainda gosto de mim conversando com ela,I still like talking with her., sotto a gaza圣grima em across intertwinha da capitalista do belo eu não consegui luxurious e estreme ,ainda gosto de mim conversando com ela,i still like talking with her 
298, Um caminhão de um tanque fazendo uma internaiga para um mercado.,Um caminhão-tanque fazendo uma entrega para um mercado,A cargo truck making a delivery to a market., um caminhão de um tanque fazendo uma internaiga para um mercado ,um caminhão tanque fazendo uma entrega para um mercado,a cargo truck making a delivery to a market 
299, apenas vai o que entre depois de sair de esta som,Apenas água quente depois de sair da estação,Only hot water after leaving the station., apenas vai o que entre depois de sair de esta som,apenas água quente depois de sair da estação,only hot water after leaving the station 
300, amigos como os queremos e parentes como Deus me desdá.,Amigos como os queremos e parentes como Deus lhes dá.,Friends as we want and relatives as God gives., amigos como os queremos e parentes como deus me desdá ,amigos como os queremos e parentes como deus lhes dá ,friends as we want and relatives as god gives 
