,transcription,sentence,translation,transcription_clean,sentence_clean,translation_clean
230, Fumar em locais onde é proibido por razões de segurança e higiene.,Fumar em locais onde é proibido por razões de segurança e higiene.,Smoking in places where it's prohibited for safety and hygiene reasons., fumar em locais onde é proibido por razões de segurança e higiene ,fumar em locais onde é proibido por razões de segurança e higiene ,smoking in places where it s prohibited for safety and hygiene reasons 
231, Um homem jogando o papai não é o com óculos no nariz.,Um homem jogando Papai Noel com óculos no nariz.,A man playing Santa Claus with his glasses over his nose., um homem jogando o papai não é o com óculos no nariz ,um homem jogando papai noel com óculos no nariz ,a man playing santa claus with his glasses over his nose 
232, Pense no que você gostaria de melhorar em sua versão personalizada.,Pense no que você gostaria de melhorar em sua versão personalizada.,Think about what you would like to improve in your customized version., pense no que você gostaria de melhorar em sua versão personalizada ,pense no que você gostaria de melhorar em sua versão personalizada ,think about what you would like to improve in your customized version 
233, Mas como?,Mas como?,But how?, mas como ,mas como ,but how 
234," Muito melhor, disse o velho.","""Muito melhor?"" disse o velho.","""Much better?"" said the old man.", muito melhor disse o velho , muito melhor disse o velho , much better said the old man 
235, A viagem estava chegando ao fim.,A viagem estava chegando ao fim,The trip was coming to an end, a viagem estava chegando ao fim ,a viagem estava chegando ao fim,the trip was coming to an end
236, Paris parece ser um bom destino.,Paris parecer ser um bom destino.,Paris seems to be a good destination., paris parece ser um bom destino ,paris parecer ser um bom destino ,paris seems to be a good destination 
237, Não é possível voltar pelos caminhos ajeitados.,Não é possível voltar pelos caminhos agitados.,It's not possible to go back to rough paths., não é possível voltar pelos caminhos ajeitados ,não é possível voltar pelos caminhos agitados ,it s not possible to go back to rough paths 
238, A Tailândia acabou sendo um feriado muito satisfatório.,A Tailândia acabou sendo um feriado muito satisfatório.,Thailand turned out to be a satisfying holiday., a tailândia acabou sendo um feriado muito satisfatório ,a tailândia acabou sendo um feriado muito satisfatório ,thailand turned out to be a satisfying holiday 
239, uma tigela de arroz,Uma tigela de arroz.,A rice bowl., uma tigela de arroz,uma tigela de arroz ,a rice bowl 
240, Não havia como todos saberem sobre alquimia.,Não havia como todos saberem sobre alquimia.,It wasn't possible for everyone to know about alchemy., não havia como todos saberem sobre alquimia ,não havia como todos saberem sobre alquimia ,it wasn t possible for everyone to know about alchemy 
241, Isto é pra você!,Isto é para você.,This is for you., isto é pra você ,isto é para você ,this is for you 
242," Eu quero ouvir Merry Go Round por Gary Nichols do Grill Shark, por favor.",Eu quero ouvir Merry Go Round por Gary Nichols do Groove Shark por favor.,"I want to hear Merry Go Round by Gary Nichols from Groove Shark, please.", eu quero ouvir merry go round por gary nichols do grill shark por favor ,eu quero ouvir merry go round por gary nichols do groove shark por favor ,i want to hear merry go round by gary nichols from groove shark please 
243, Quatro mulheres que jogam walkie lutam sob um disco.,Quatro mulheres que jogam o hóquei lutam sobre um disco.,Four women playing hockey fight over a puck., quatro mulheres que jogam walkie lutam sob um disco ,quatro mulheres que jogam o hóquei lutam sobre um disco ,four women playing hockey fight over a puck 
244, Encontre filmes animados na área.,Encontre filmes animados na área.,Find animated movies in the area., encontre filmes animados na área ,encontre filmes animados na área ,find animated movies in the area 
245, Um homem velho em uma jaqueta vermelha está dormindo lá fora.,Um homem velho em uma jaqueta vermelha está dormindo lá fora.,An old man in a red jacket is sleeping outside., um homem velho em uma jaqueta vermelha está dormindo lá fora ,um homem velho em uma jaqueta vermelha está dormindo lá fora ,an old man in a red jacket is sleeping outside 
246, Um homem está cantando em um microfone e outro homem está tocando violão.,Um homem está cantando em um microfone e outro homem está tocando violão.,A man is singing with a microphone and another man is playing the guitar., um homem está cantando em um microfone e outro homem está tocando violão ,um homem está cantando em um microfone e outro homem está tocando violão ,a man is singing with a microphone and another man is playing the guitar 
247, Três colegas de equipe na ação em um campo de grama.,Três colegas de equipe na ação em um campo de grama.,Three teammates in action in a grass field., três colegas de equipe na ação em um campo de grama ,três colegas de equipe na ação em um campo de grama ,three teammates in action in a grass field 
248, Qual será o tempo aqui?,Qual será o tempo aqui?,How long will you be here?, qual será o tempo aqui ,qual será o tempo aqui ,how long will you be here 
249, Eu irei explicar isso na classe hoje.,Eu irei explicar isso na classe hoje.,I will explain this in class today., eu irei explicar isso na classe hoje ,eu irei explicar isso na classe hoje ,i will explain this in class today 
250, Esta pessoa está escalando o lado de uma montanha.,Esta pessoa está escalando o lado de uma montanha.,This person is climbing the side of a mountain., esta pessoa está escalando o lado de uma montanha ,esta pessoa está escalando o lado de uma montanha ,this person is climbing the side of a mountain 
251, Você acha que Steven teria deixado você manter isso?,Você acha que Steven teria deixado você manter isso?,Do you think Steven would have allowed you to keep this?, você acha que steven teria deixado você manter isso ,você acha que steven teria deixado você manter isso ,do you think steven would have allowed you to keep this 
252," Infelizmente, meu sonho de se tornar um sussurro de esquilo pode nunca acontecer.",Infelizmente! meu sonho de se tornar um sussurro de esquilo pode nunca acontecer.,Unfortunately! My dream of becoming a squirrel whisperer may never happen., infelizmente meu sonho de se tornar um sussurro de esquilo pode nunca acontecer ,infelizmente meu sonho de se tornar um sussurro de esquilo pode nunca acontecer ,unfortunately my dream of becoming a squirrel whisperer may never happen 
253, até mesmo o Ent1 tem que colocar novos elementos,Até mesmo Wenchuang tem que colocar novos elementos.,Even Wenchuang has to add new elements., até mesmo o ent1 tem que colocar novos elementos,até mesmo wenchuang tem que colocar novos elementos ,even wenchuang has to add new elements 
254, e estar constantemente brigando.,Estar constantemente brigando,Constantly fighting., e estar constantemente brigando ,estar constantemente brigando,constantly fighting 
255, Semeie a salsa em maio e durante todo o ano você a terá.,Semeie a salsa em maio e durante todo o ano você a terá.,Plant parsley in May and you will have it throughout the year., semeie a salsa em maio e durante todo o ano você a terá ,semeie a salsa em maio e durante todo o ano você a terá ,plant parsley in may and you will have it throughout the year 
256, Estou tão feliz!,Eu estou tão feliz.,I'm so happy., estou tão feliz ,eu estou tão feliz ,i m so happy 
257," Por favor, Carteiro.",Por favor carteiro,Please postman., por favor carteiro ,por favor carteiro,please postman 
258, Um homem olha para uma pilha de melões carregados em um veículo.,Um homem olha para uma pilha de melões carregados em um veículo,A man looks to a pile of melons being carried by a vehicle., um homem olha para uma pilha de melões carregados em um veículo ,um homem olha para uma pilha de melões carregados em um veículo,a man looks to a pile of melons being carried by a vehicle 
259, Reservar uma mesa em Big City Burrito em Tower City,reservar uma mesa em Big City Burrito em Tower City,Book a table at the Big City Burrito in Tower City., reservar uma mesa em big city burrito em tower city,reservar uma mesa em big city burrito em tower city,book a table at the big city burrito in tower city 
260, Os quatro músicos estão se preparando para tocar seus instrumentos.,Os quatro músicos estão se preparando para tocar seus instrumentos.,The four musicians are getting ready to play their instruments., os quatro músicos estão se preparando para tocar seus instrumentos ,os quatro músicos estão se preparando para tocar seus instrumentos ,the four musicians are getting ready to play their instruments 
261, Duas meninas que desenham veleiros com giz no lado do concreto.,Duas meninas que desenham veleiros com giz no lado do concreto.,Two girls draw sailboats with chalk on the side of the concrete., duas meninas que desenham veleiros com giz no lado do concreto ,duas meninas que desenham veleiros com giz no lado do concreto ,two girls draw sailboats with chalk on the side of the concrete 
262, Uma família indiana está unida em um corpo de água olhando para fora.,Uma família indiana está unida em um corpo de água olhando para fora.,An Indian family is united in a waterbody looking out of it., uma família indiana está unida em um corpo de água olhando para fora ,uma família indiana está unida em um corpo de água olhando para fora ,an indian family is united in a waterbody looking out of it 
263," Durante os testes de entrada, todos os candidatos terão acesso aos vestiários.","Durante os testes de entrada, todos os candidatos terão acesso aos vestiários.","During the tests, all candidates will have access to the locker rooms.", durante os testes de entrada todos os candidatos terão acesso aos vestiários ,durante os testes de entrada todos os candidatos terão acesso aos vestiários ,during the tests all candidates will have access to the locker rooms 
264, Quem criou o universo?,Quem criou o universo?,Who created the universe?, quem criou o universo ,quem criou o universo ,who created the universe 
265, Às vezes preciso de dinheiro.,Às vezes preciso de dinheiro,Sometimes I need money., às vezes preciso de dinheiro ,às vezes preciso de dinheiro,sometimes i need money 
266, Então nós quebramos em uma noite.,Então nós quebramos em uma noite.,So we broke it in one night., então nós quebramos em uma noite ,então nós quebramos em uma noite ,so we broke it in one night 
267, Apenas se apresse e chegue aqui.,Apenas se apresse e chegue aqui.,Hurry up and get here., apenas se apresse e chegue aqui ,apenas se apresse e chegue aqui ,hurry up and get here 
268, A mulher está pousando de salto alto em uma escada enferrujada.,A mulher está posando de salto alto em uma escada enferrujada,The woman is posing in high heels on a rusty ladder., a mulher está pousando de salto alto em uma escada enferrujada ,a mulher está posando de salto alto em uma escada enferrujada,the woman is posing in high heels on a rusty ladder 
269, Um homem que rema um caioque ao longo da costa de um rio.,Um homem que rema um caiaque ao longo da costa de um rio.,A man paddling a kayak along the river's edge., um homem que rema um caioque ao longo da costa de um rio ,um homem que rema um caiaque ao longo da costa de um rio ,a man paddling a kayak along the river s edge 
270, É só que nunca tive.,É só que nunca tive.,It's just that I never had., é só que nunca tive ,é só que nunca tive ,it s just that i never had 
271, Tocar enquanto esperávamos por C.P. Wallace e Novímil.,Tocar Enquanto esperávamos por Sippie Wallace no Vimeo,Play while we wait for Sippie Wallace on Vimeo., tocar enquanto esperávamos por c p wallace e novímil ,tocar enquanto esperávamos por sippie wallace no vimeo,play while we wait for sippie wallace on vimeo 
272, Eu não quero te apressar.,Eu não quero te apressar.,I don't want to rush you., eu não quero te apressar ,eu não quero te apressar ,i don t want to rush you 
273, O piquenique foi arruinado por uma banda marcial.,O piquenique foi arruinado por uma banda marcial.,The picnic was ruined by a martial band., o piquenique foi arruinado por uma banda marcial ,o piquenique foi arruinado por uma banda marcial ,the picnic was ruined by a martial band 
274, Esse cara roubou meu relógio.,Esse cara roubou meu relógio.,This guy stole my watch., esse cara roubou meu relógio ,esse cara roubou meu relógio ,this guy stole my watch 
275, São um par de olhares vagarosos.,São um par de olhares vagarosos,They are a pair of empty eyes., são um par de olhares vagarosos ,são um par de olhares vagarosos,they are a pair of empty eyes 
276," Enquanto observava, o gato lavou as orelhas e depois se acomodou para dormir.","Enquanto observava?, o gato lavou as orelhas e depois se acomodou para dormir.","While watching, the cat licked its ears and then settled down to sleep.", enquanto observava o gato lavou as orelhas e depois se acomodou para dormir ,enquanto observava o gato lavou as orelhas e depois se acomodou para dormir ,while watching the cat licked its ears and then settled down to sleep 
277, O amor é frutífero de Alarques.,O amor é frutífero de alarmes,Love is full of false alarms., o amor é frutífero de alarques ,o amor é frutífero de alarmes,love is full of false alarms 
278, Um homem e seu filho passam por uma locadora de vídeos adultos.,Um homem e seu filho passam por uma locadora de vídeos adultos.,A man and his son go through an adult video store., um homem e seu filho passam por uma locadora de vídeos adultos ,um homem e seu filho passam por uma locadora de vídeos adultos ,a man and his son go through an adult video store 
279, Eu não quero.,Eu não quero.,I don’t want it., eu não quero ,eu não quero ,i don t want it 
280, Elementos da Química.,Elementos da química.,Chemical elements., elementos da química ,elementos da química ,chemical elements 
281," Dois homens vestindo óculos, falando",Dois homens vestindo óculos? falando.,Are two men wearing glasses while talking?, dois homens vestindo óculos falando,dois homens vestindo óculos falando ,are two men wearing glasses while talking 
282, Há um monte de caçadores de autógrafos na frente.,Há um monte de caçadores de autógrafos na frente.,There is a lot of autograph hunters upfront., há um monte de caçadores de autógrafos na frente ,há um monte de caçadores de autógrafos na frente ,there is a lot of autograph hunters upfront 
283, Compromisso de longo prazo.,Compromisso de longo prazo,Long-term commitment., compromisso de longo prazo ,compromisso de longo prazo,long term commitment 
284, Dois homens estão rindo na frente de uma luz.,Dois homens estão rindo na frente de uma luz.,Two men are laughing in front of the light., dois homens estão rindo na frente de uma luz ,dois homens estão rindo na frente de uma luz ,two men are laughing in front of the light 
285, Muito boa tarde!,Muito boa tarde.,Good afternoon., muito boa tarde ,muito boa tarde ,good afternoon 
286, Um tambor sendo tocado com dois paus.,Um tambor sendo tocado com dois paus,A drum being played with two sticks., um tambor sendo tocado com dois paus ,um tambor sendo tocado com dois paus,a drum being played with two sticks 
287, Diga-me a previsão do tempo aqui em 7 anos.,Diga-me a previsão do tempo aqui em sete anos,Tell me the weather forecast from here in seven years., diga me a previsão do tempo aqui em 7 anos ,diga me a previsão do tempo aqui em sete anos,tell me the weather forecast from here in seven years 
288, Um homem moreno jogando rugby.,Um homem moreno jogando rugby.,A black man playing rugby., um homem moreno jogando rugby ,um homem moreno jogando rugby ,a black man playing rugby 
289, Parece velho e sábio.,Parece velho e sábio.,He seems old and wise., parece velho e sábio ,parece velho e sábio ,he seems old and wise 
290, Um homem novo e uma mulher que desgastam a dança vermelha.,Um homem novo e uma mulher que desgastam a dança vermelha.,A young man and woman are dancing and wearing Tango clothes., um homem novo e uma mulher que desgastam a dança vermelha ,um homem novo e uma mulher que desgastam a dança vermelha ,a young man and woman are dancing and wearing tango clothes 
291, largue essa cadeira,Largue essa cadeira!,Drop that chair!, largue essa cadeira,largue essa cadeira ,drop that chair 
292, Eles podem fazer café da manhã.,Eles podem fazer café da manhã,They can make breakfast., eles podem fazer café da manhã ,eles podem fazer café da manhã,they can make breakfast 
293, Esta página foi editada pela última vez.,Esta página foi editada pela última vez.,This page was edited for the last time., esta página foi editada pela última vez ,esta página foi editada pela última vez ,this page was edited for the last time 
294, Todas as mangueiras estão conectadas ao cubo defeituoso.,Todas as mangueiras estão conectadas ao cubo defeituoso.,All hoses are connected to the defective hub., todas as mangueiras estão conectadas ao cubo defeituoso ,todas as mangueiras estão conectadas ao cubo defeituoso ,all hoses are connected to the defective hub 
295, Um homem e uma mulher sentados em uma mesa com bebidas e conversas profundas.,Um homem e uma mulher sentados em uma mesa com bebidas e conversas profundas.,A man and a woman are sitting at the table having deep conversations and drinks., um homem e uma mulher sentados em uma mesa com bebidas e conversas profundas ,um homem e uma mulher sentados em uma mesa com bebidas e conversas profundas ,a man and a woman are sitting at the table having deep conversations and drinks 
296, Esperar para ouvir a mãe da garota no rádio seria o melhor.,Esperar para ouvir a mãe da garota no rádio seria o melhor.,Wait to hear the girl's mother on the radio would be the best., esperar para ouvir a mãe da garota no rádio seria o melhor ,esperar para ouvir a mãe da garota no rádio seria o melhor ,wait to hear the girl s mother on the radio would be the best 
297, Ainda gosta de mim conversando com o cara.,Ainda gosto de mim conversando com ela,I still like talking with her., ainda gosta de mim conversando com o cara ,ainda gosto de mim conversando com ela,i still like talking with her 
298, um caminhão tanque fazendo entrega para o mercado,Um caminhão-tanque fazendo uma entrega para um mercado,A cargo truck making a delivery to a market., um caminhão tanque fazendo entrega para o mercado,um caminhão tanque fazendo uma entrega para um mercado,a cargo truck making a delivery to a market 
299, apenas água quente depois de sair da estação.,Apenas água quente depois de sair da estação,Only hot water after leaving the station., apenas água quente depois de sair da estação ,apenas água quente depois de sair da estação,only hot water after leaving the station 
300, amigos como os queremos e parentes como Deus lhes dá.,Amigos como os queremos e parentes como Deus lhes dá.,Friends as we want and relatives as God gives., amigos como os queremos e parentes como deus lhes dá ,amigos como os queremos e parentes como deus lhes dá ,friends as we want and relatives as god gives 
301, Quer inscrever essa música?,Quem escreveu essa música?,Who wrote this song?, quer inscrever essa música ,quem escreveu essa música ,who wrote this song 
302, Vou escrever mais devagar.,vou escrever mais devagar.,I will write more slowly., vou escrever mais devagar ,vou escrever mais devagar ,i will write more slowly 
303, Existem dois desafios.,Existem dois desafios.,There are two challenges., existem dois desafios ,existem dois desafios ,there are two challenges 
304, O que vai fazer comigo?,O que vais fazer comigo?,What are you going to do with me?, o que vai fazer comigo ,o que vais fazer comigo ,what are you going to do with me 
305, Pessoas que trabalham em florez em um caminho de flor,Pessoas que trabalham em flores em um carrinho de flor.,People that work with flowers in a flower cart., pessoas que trabalham em florez em um caminho de flor,pessoas que trabalham em flores em um carrinho de flor ,people that work with flowers in a flower cart 
306, Eu definitivamente estou fora da prática escrevendo coisas? Também.,Eu definitivamente estou fora da prática escrevendo coisas? também.,Am I definitely out of practice for writing stuff? For sure., eu definitivamente estou fora da prática escrevendo coisas também ,eu definitivamente estou fora da prática escrevendo coisas também ,am i definitely out of practice for writing stuff for sure 
307, Um grupo de músicos masculinos toca instrumentos incluindo guitarra e bateria.,Um grupo de músicos masculinos toca instrumentos incluindo guitarra e bateria.,"A group of male musicians play instruments, including guitar and drums.", um grupo de músicos masculinos toca instrumentos incluindo guitarra e bateria ,um grupo de músicos masculinos toca instrumentos incluindo guitarra e bateria ,a group of male musicians play instruments including guitar and drums 
308, Como eu entro.,Como eu antes,As I was before., como eu entro ,como eu antes,as i was before 
309, Não deixe que ele coma muitos morangos.,Não deixe que ele coma muitos morangos.,Don't let him eat too many strawberries., não deixe que ele coma muitos morangos ,não deixe que ele coma muitos morangos ,don t let him eat too many strawberries 
310, O amor exigia que ficassem com as pessoas que amavam.,O amor exigia que ficassem com as pessoas que amavam.,Love demanded that they stay with the their loved ones., o amor exigia que ficassem com as pessoas que amavam ,o amor exigia que ficassem com as pessoas que amavam ,love demanded that they stay with the their loved ones 
311, Eu preciso de uma faca no meu rosto.,Eu preciso de uma faca no meu rosto.,I need a knife on my face., eu preciso de uma faca no meu rosto ,eu preciso de uma faca no meu rosto ,i need a knife on my face 
312, Você não quer que eu fique?,Você não quer que eu fique?,Do you want me to stay?, você não quer que eu fique ,você não quer que eu fique ,do you want me to stay 
313, Um cientista em uma bata de laboratório está usando um microscópio.,Um cientista em uma bata de laboratório está usando um microscópio.,A scientist in a lab coat is using a microscope., um cientista em uma bata de laboratório está usando um microscópio ,um cientista em uma bata de laboratório está usando um microscópio ,a scientist in a lab coat is using a microscope 
314," Jovem de blusa branca, shorts azuis compridos, jogando tênis.",Jovem de blusa branca? shorts azuis compridos? jogando tênis.,A young man in a white shirt? Playing tennis wearing long blue shorts?, jovem de blusa branca shorts azuis compridos jogando tênis ,jovem de blusa branca shorts azuis compridos jogando tênis ,a young man in a white shirt playing tennis wearing long blue shorts 
315, Eu tenho uma casa em Luzo.,Eu tenho uma casa em Luzhou.,I have a house in Luzhou., eu tenho uma casa em luzo ,eu tenho uma casa em luzhou ,i have a house in luzhou 
316, Talvez vocês estejam assim espancados.,Talvez você esteja sendo espancado.,Perhaps you are being beaten., talvez vocês estejam assim espancados ,talvez você esteja sendo espancado ,perhaps you are being beaten 
317, Qualquer um pode fazer isso. Eu vi.,"Qualquer um pode fazer isso, ele disse.","Anyone can do that, he said.", qualquer um pode fazer isso eu vi ,qualquer um pode fazer isso ele disse ,anyone can do that he said 
318, Acho que eles perceberam que nada deveria ser feito no momento.,Acho que eles perceberam que nada deveria ser feito no momento.,I think they realized that nothing should be done at the moment., acho que eles perceberam que nada deveria ser feito no momento ,acho que eles perceberam que nada deveria ser feito no momento ,i think they realized that nothing should be done at the moment 
319, Homem de pé enquanto usava um capacete.,Homem de pé enquanto usava um capacete.,A man standing while wearing a helmet., homem de pé enquanto usava um capacete ,homem de pé enquanto usava um capacete ,a man standing while wearing a helmet 
320, Poucas palavras e muitos atos.,Poucas palavras e muitos atos.,Few words and many actions., poucas palavras e muitos atos ,poucas palavras e muitos atos ,few words and many actions 
321, Não pare de ler esse livro por nada.,Não pare de ler esse livro por nada!,Don't stop reading this book for nothing!, não pare de ler esse livro por nada ,não pare de ler esse livro por nada ,don t stop reading this book for nothing 
322, O leitor só precisa saber o que faz.,O leitor só precisa saber o que faz.,The reader just needs to know what he does., o leitor só precisa saber o que faz ,o leitor só precisa saber o que faz ,the reader just needs to know what he does 
323, Dois casais estão sentados em uma mesa de piquenique em um cenário de parque.,Dois casais estão sentados em uma mesa de piquenique em um cenário de parque.,Two couples are sitting at a picnic table in a park setting., dois casais estão sentados em uma mesa de piquenique em um cenário de parque ,dois casais estão sentados em uma mesa de piquenique em um cenário de parque ,two couples are sitting at a picnic table in a park setting 
324, Um jovem rapaz praticando artes marciais.,Um jovem rapaz praticando artes marciais.,A young boy practicing martial arts., um jovem rapaz praticando artes marciais ,um jovem rapaz praticando artes marciais ,a young boy practicing martial arts 
325, Brevemente.,Brevemente,Coming soon., brevemente ,brevemente,coming soon 
326, North City está servindo a Taipei EU's Career Development Center.,North City está servindo a Taipei Youth Career Development Center,North City is providing the Taipei Youth Career Development Center., north city está servindo a taipei eu s career development center ,north city está servindo a taipei youth career development center,north city is providing the taipei youth career development center 
327, Agora será com esperança.,Agora será com esperança.,Now it will be with hope., agora será com esperança ,agora será com esperança ,now it will be with hope 
328, Lembre-se de criar um segundo ano fora.,Lembre-se que há um segundo ano fora,Remember that there is a second year., lembre se de criar um segundo ano fora ,lembre se que há um segundo ano fora,remember that there is a second year 
329, Você é a maior pessoa da cidade.,Você é a maior pessoa da cidade!,You are the greatest person in town!, você é a maior pessoa da cidade ,você é a maior pessoa da cidade ,you are the greatest person in town 
330, Será mais frio no Texas.,Será mais frio no Texas?,Will be colder in Texas?, será mais frio no texas ,será mais frio no texas ,will be colder in texas 
331, Você consegue se lembrar de alguma coisa?,Você consegue se lembrar de alguma coisa?,Can you remember anything?, você consegue se lembrar de alguma coisa ,você consegue se lembrar de alguma coisa ,can you remember anything 
332, O gato sentou-se na cerca.,O gato sentou-se na cerca.,The cat sat on the fence., o gato sentou se na cerca ,o gato sentou se na cerca ,the cat sat on the fence 
333, Tenha melhores alunos e ex-alunos.,Tenha melhores alunos e ex-alunos,Have the best students and the best alumni., tenha melhores alunos e ex alunos ,tenha melhores alunos e ex alunos,have the best students and the best alumni 
334, Os catalizadores possibilitam reações químicas em baixas temperaturas.,Os catalisadores possibilitam reações químicas em baixas temperaturas.,Catalysts enable chemical reactions at low temperatures., os catalizadores possibilitam reações químicas em baixas temperaturas ,os catalisadores possibilitam reações químicas em baixas temperaturas ,catalysts enable chemical reactions at low temperatures 
335, Eu sabia que você acordaria mais cedo ou mais tarde.,Eu sabia que você acordaria mais cedo ou mais tarde!,I knew you would wake up sooner or later!, eu sabia que você acordaria mais cedo ou mais tarde ,eu sabia que você acordaria mais cedo ou mais tarde ,i knew you would wake up sooner or later 
336, Você não é capaz disto.,Você não é capaz disto,You are not capable of that., você não é capaz disto ,você não é capaz disto,you are not capable of that 
337, Scanners com alimentadores automáticos de documentos realmente existem.,Scanners com alimentadores automáticos de documentos realmente existem.,Scanners with automatic document feeders do exist., scanners com alimentadores automáticos de documentos realmente existem ,scanners com alimentadores automáticos de documentos realmente existem ,scanners with automatic document feeders do exist 
338, Então você vai morrer no meio de tentar perceber o seu destino.,Então você vai morrer no meio de tentar perceber o seu destino.,So you will die trying to find your destiny., então você vai morrer no meio de tentar perceber o seu destino ,então você vai morrer no meio de tentar perceber o seu destino ,so you will die trying to find your destiny 
339, Ele nos fez ficar de pé e vê-lo pintar por uma hora.,Ele nos fez ficar de pé e vê-lo pintar por uma hora.,He made us stand and watch him paint for an hour., ele nos fez ficar de pé e vê lo pintar por uma hora ,ele nos fez ficar de pé e vê lo pintar por uma hora ,he made us stand and watch him paint for an hour 
340, Foi essa a pergunta retórica?,Foi essa pergunta retórica?,Is this rhetorical question?, foi essa a pergunta retórica ,foi essa pergunta retórica ,is this rhetorical question 
341, O tempo devia estar em algum lugar por volta das 6 horas.,O tempo devia estar em algum lugar por volta das seis horas.,The time must be somewhere around six hours., o tempo devia estar em algum lugar por volta das 6 horas ,o tempo devia estar em algum lugar por volta das seis horas ,the time must be somewhere around six hours 
342," De noite, o alarme despertou de um sono profundo.","De noite, o alarme despertou-o de um sono profundo.","At night, the alarm woke him from a deep sleep.", de noite o alarme despertou de um sono profundo ,de noite o alarme despertou o de um sono profundo ,at night the alarm woke him from a deep sleep 
343, Dê ao Chatterzano uma classificação de dois em seis.,Dê ao Chater's Annual uma classificação de dois em seis.,Give the Chater's Annual a two out of six rate., dê ao chatterzano uma classificação de dois em seis ,dê ao chater s annual uma classificação de dois em seis ,give the chater s annual a two out of six rate 
344, A fronteira era fortemente vigiada.,A fronteira era fortemente vigiada.,The border was heavily guarded., a fronteira era fortemente vigiada ,a fronteira era fortemente vigiada ,the border was heavily guarded 
345, Todo o escritório foi atingido por um silêncio ensurdecedor.,Todo o escritório foi atingido por um silêncio ensurdecedor.,The entire office was filled with deafening silence., todo o escritório foi atingido por um silêncio ensurdecedor ,todo o escritório foi atingido por um silêncio ensurdecedor ,the entire office was filled with deafening silence 
346, A fita vermelha ligava comida contrabandeada.,A fita vermelha ligava a comida contrabandeada.,The red ribbon tied the smuggled food., a fita vermelha ligava comida contrabandeada ,a fita vermelha ligava a comida contrabandeada ,the red ribbon tied the smuggled food 
347," Viver juntos significa viver juntos, compartilhar objetivos, ter um bom relacionamento.","Viver juntos significa viver juntos, compartilhar objetivos e ter um bom relacionamento.",Living together means sharing goals and having a good relationship., viver juntos significa viver juntos compartilhar objetivos ter um bom relacionamento ,viver juntos significa viver juntos compartilhar objetivos e ter um bom relacionamento ,living together means sharing goals and having a good relationship 
348, O homem fica segurando um instrumento de cordas.,Um homem fica segurando um instrumento de cordas.,A man is holding a stringed instrument., o homem fica segurando um instrumento de cordas ,um homem fica segurando um instrumento de cordas ,a man is holding a stringed instrument 
349, acknowledço a certeza,O que você fez?,What have you done?, acknowledço a certeza,o que você fez ,what have you done 
350," Aqui também é outro estágio importante da minha vida, também como é sério.",Aqui também outro estágio importante da minha vida também começaria.,Another important stage of my life would also begin here., aqui também é outro estágio importante da minha vida também como é sério ,aqui também outro estágio importante da minha vida também começaria ,another important stage of my life would also begin here 
351, Negros falando no mercado.,Negros falando no mercado.,Black people talking in the market., negros falando no mercado ,negros falando no mercado ,black people talking in the market 
352, A terceira onda de revolução industrial.,A terceira onda de revolução industrial,The third wave of industrial revolution., a terceira onda de revolução industrial ,a terceira onda de revolução industrial,the third wave of industrial revolution 
353, Duas mulheres em vestidos brancos estão passando por uma foto de pessoas jogando golf.,Duas mulheres em vestidos brancos estão passando por uma foto de pessoas jogando golfe.,Two women in white dresses are looking at a picture of people playing golf., duas mulheres em vestidos brancos estão passando por uma foto de pessoas jogando golf ,duas mulheres em vestidos brancos estão passando por uma foto de pessoas jogando golfe ,two women in white dresses are looking at a picture of people playing golf 
354, Michael abriu um navegador e navegou para um mecanismo de pesquisa anônimo.,Michael abriu um navegador e navegou para um mecanismo de pesquisa anônimo.,Michael opened the browser and navigated through an anonymous search engine., michael abriu um navegador e navegou para um mecanismo de pesquisa anônimo ,michael abriu um navegador e navegou para um mecanismo de pesquisa anônimo ,michael opened the browser and navigated through an anonymous search engine 
355, Parecia que estava chateada comigo.,Parecia que estavas chateada comigo.,It looked like you were upset with me., parecia que estava chateada comigo ,parecia que estavas chateada comigo ,it looked like you were upset with me 
356, Motocicletas estão estacionadas atrás de uma cerca em uma rua movimentada.,Motocicletas estão estacionadas atrás de uma cerca em uma rua movimentada.,Motorcycles are parked on a busy street behind a fence., motocicletas estão estacionadas atrás de uma cerca em uma rua movimentada ,motocicletas estão estacionadas atrás de uma cerca em uma rua movimentada ,motorcycles are parked on a busy street behind a fence 
357, Um homem cozinha frango na churrasqueira enquanto outros gostam de comida ao fundo.,Um homem cozinha frango na churrasqueira enquanto outros gostam de comida ao fundo.,A man cooks chicken on the grill while the others enjoy the food in the backyard., um homem cozinha frango na churrasqueira enquanto outros gostam de comida ao fundo ,um homem cozinha frango na churrasqueira enquanto outros gostam de comida ao fundo ,a man cooks chicken on the grill while the others enjoy the food in the backyard 
358, Uma mulher em um chapéu negro em pé atrás de um carrinho de boneca.,Uma mulher em um chapéu negro em pé atrás de um carrinho de boneca.,A woman with a black hat standing behind a doll stroller., uma mulher em um chapéu negro em pé atrás de um carrinho de boneca ,uma mulher em um chapéu negro em pé atrás de um carrinho de boneca ,a woman with a black hat standing behind a doll stroller 
359, Bebê tirando uma soneca no verso.,Bebê tirando uma soneca no berço.,Baby taking a nap in the crib., bebê tirando uma soneca no verso ,bebê tirando uma soneca no berço ,baby taking a nap in the crib 
