,hypothesis,reference,translation,hypothesis_clean,reference_clean,translation_clean
269, um homem que rema um caiaque ao longo da costa de um rio,Um homem que rema um caiaque ao longo da costa de um rio.,A man paddling a kayak along the river's edge., um homem que rema um caiaque ao longo da costa de um rio,um homem que rema um caiaque ao longo da costa de um rio ,a man paddling a kayak along the river s edge 
270, É só que nunca tive.,É só que nunca tive.,It's just that I never had., é só que nunca tive ,é só que nunca tive ,it s just that i never had 
271, Tocar enquanto esperávamos por Cip Wolas e Novímio,Tocar Enquanto esperávamos por Sippie Wallace no Vimeo,Play while we wait for Sippie Wallace on Vimeo., tocar enquanto esperávamos por cip wolas e novímio,tocar enquanto esperávamos por sippie wallace no vimeo,play while we wait for sippie wallace on vimeo 
272, Eu não quero te apressar.,Eu não quero te apressar.,I don't want to rush you., eu não quero te apressar ,eu não quero te apressar ,i don t want to rush you 
273, O piquenique foi arruinado por uma banda marcial.,O piquenique foi arruinado por uma banda marcial.,The picnic was ruined by a martial band., o piquenique foi arruinado por uma banda marcial ,o piquenique foi arruinado por uma banda marcial ,the picnic was ruined by a martial band 
274, Esse cara roubou meu relógio.,Esse cara roubou meu relógio.,This guy stole my watch., esse cara roubou meu relógio ,esse cara roubou meu relógio ,this guy stole my watch 
275, São um par de olhares vagarosos.,São um par de olhares vagarosos,They are a pair of empty eyes., são um par de olhares vagarosos ,são um par de olhares vagarosos,they are a pair of empty eyes 
276," Enquanto observava, o gato lavou as orelhas e depois se acomodou para dormir.","Enquanto observava?, o gato lavou as orelhas e depois se acomodou para dormir.","While watching, the cat licked its ears and then settled down to sleep.", enquanto observava o gato lavou as orelhas e depois se acomodou para dormir ,enquanto observava o gato lavou as orelhas e depois se acomodou para dormir ,while watching the cat licked its ears and then settled down to sleep 
277, O amor é frutífero de alarmes.,O amor é frutífero de alarmes,Love is full of false alarms., o amor é frutífero de alarmes ,o amor é frutífero de alarmes,love is full of false alarms 
278, Um homem e seu filho passam por uma locadora de vídeos adultos.,Um homem e seu filho passam por uma locadora de vídeos adultos.,A man and his son go through an adult video store., um homem e seu filho passam por uma locadora de vídeos adultos ,um homem e seu filho passam por uma locadora de vídeos adultos ,a man and his son go through an adult video store 
279, Eu não quero.,Eu não quero.,I don’t want it., eu não quero ,eu não quero ,i don t want it 
280, Elementos da Química,Elementos da química.,Chemical elements., elementos da química,elementos da química ,chemical elements 
281," Dois homens vestindo óculos, falando.",Dois homens vestindo óculos? falando.,Are two men wearing glasses while talking?, dois homens vestindo óculos falando ,dois homens vestindo óculos falando ,are two men wearing glasses while talking 
282, Há um monte de caçadores de autógrafos na frente.,Há um monte de caçadores de autógrafos na frente.,There is a lot of autograph hunters upfront., há um monte de caçadores de autógrafos na frente ,há um monte de caçadores de autógrafos na frente ,there is a lot of autograph hunters upfront 
283, Compromisso de longo prazo.,Compromisso de longo prazo,Long-term commitment., compromisso de longo prazo ,compromisso de longo prazo,long term commitment 
284, Dois homens estão rindo na frente de uma luz.,Dois homens estão rindo na frente de uma luz.,Two men are laughing in front of the light., dois homens estão rindo na frente de uma luz ,dois homens estão rindo na frente de uma luz ,two men are laughing in front of the light 
285, Muito boa tarde!,Muito boa tarde.,Good afternoon., muito boa tarde ,muito boa tarde ,good afternoon 
286, Um tambor sendo tocado com dois paus.,Um tambor sendo tocado com dois paus,A drum being played with two sticks., um tambor sendo tocado com dois paus ,um tambor sendo tocado com dois paus,a drum being played with two sticks 
287, Diga-me a previsão do tempo aqui em 7 anos.,Diga-me a previsão do tempo aqui em sete anos,Tell me the weather forecast from here in seven years., diga me a previsão do tempo aqui em 7 anos ,diga me a previsão do tempo aqui em sete anos,tell me the weather forecast from here in seven years 
288, Um homem moreno jogando rugby.,Um homem moreno jogando rugby.,A black man playing rugby., um homem moreno jogando rugby ,um homem moreno jogando rugby ,a black man playing rugby 
289, Parece velho e sábio.,Parece velho e sábio.,He seems old and wise., parece velho e sábio ,parece velho e sábio ,he seems old and wise 
290, Um homem novo e uma mulher que desgastam a dança vermelha.,Um homem novo e uma mulher que desgastam a dança vermelha.,A young man and woman are dancing and wearing Tango clothes., um homem novo e uma mulher que desgastam a dança vermelha ,um homem novo e uma mulher que desgastam a dança vermelha ,a young man and woman are dancing and wearing tango clothes 
291, Largue essa cadeira!,Largue essa cadeira!,Drop that chair!, largue essa cadeira ,largue essa cadeira ,drop that chair 
292, Eles podem fazer café da manhã.,Eles podem fazer café da manhã,They can make breakfast., eles podem fazer café da manhã ,eles podem fazer café da manhã,they can make breakfast 
293, Esta página foi editada pela última vez.,Esta página foi editada pela última vez.,This page was edited for the last time., esta página foi editada pela última vez ,esta página foi editada pela última vez ,this page was edited for the last time 
294, Todas as mangueiras estão conectadas ao cubo defeituoso.,Todas as mangueiras estão conectadas ao cubo defeituoso.,All hoses are connected to the defective hub., todas as mangueiras estão conectadas ao cubo defeituoso ,todas as mangueiras estão conectadas ao cubo defeituoso ,all hoses are connected to the defective hub 
295," Um homem e uma mulher sentados em uma mesa, com bebidas e conversas profundas.",Um homem e uma mulher sentados em uma mesa com bebidas e conversas profundas.,A man and a woman are sitting at the table having deep conversations and drinks., um homem e uma mulher sentados em uma mesa com bebidas e conversas profundas ,um homem e uma mulher sentados em uma mesa com bebidas e conversas profundas ,a man and a woman are sitting at the table having deep conversations and drinks 
296, Esperar para ouvir a mãe da garota no rádio seria o melhor.,Esperar para ouvir a mãe da garota no rádio seria o melhor.,Wait to hear the girl's mother on the radio would be the best., esperar para ouvir a mãe da garota no rádio seria o melhor ,esperar para ouvir a mãe da garota no rádio seria o melhor ,wait to hear the girl s mother on the radio would be the best 
297, Ainda gosta de mim conversando com ela.,Ainda gosto de mim conversando com ela,I still like talking with her., ainda gosta de mim conversando com ela ,ainda gosto de mim conversando com ela,i still like talking with her 
298, Um caminhão tanque fazendo uma entrega para o mercado.,Um caminhão-tanque fazendo uma entrega para um mercado,A cargo truck making a delivery to a market., um caminhão tanque fazendo uma entrega para o mercado ,um caminhão tanque fazendo uma entrega para um mercado,a cargo truck making a delivery to a market 
299, Apenas água quente depois de sair da estação.,Apenas água quente depois de sair da estação,Only hot water after leaving the station., apenas água quente depois de sair da estação ,apenas água quente depois de sair da estação,only hot water after leaving the station 
300, Amigos como os queremos e parentes como Deus lhes dá.,Amigos como os queremos e parentes como Deus lhes dá.,Friends as we want and relatives as God gives., amigos como os queremos e parentes como deus lhes dá ,amigos como os queremos e parentes como deus lhes dá ,friends as we want and relatives as god gives 
301, Quem escreveu essa música?,Quem escreveu essa música?,Who wrote this song?, quem escreveu essa música ,quem escreveu essa música ,who wrote this song 
302, Vou escrever mais devagar.,vou escrever mais devagar.,I will write more slowly., vou escrever mais devagar ,vou escrever mais devagar ,i will write more slowly 
303, Existem dois desafios.,Existem dois desafios.,There are two challenges., existem dois desafios ,existem dois desafios ,there are two challenges 
304, O que vais fazer comigo?,O que vais fazer comigo?,What are you going to do with me?, o que vais fazer comigo ,o que vais fazer comigo ,what are you going to do with me 
305, Pessoas que trabalham em flores e em caminho de flor.,Pessoas que trabalham em flores em um carrinho de flor.,People that work with flowers in a flower cart., pessoas que trabalham em flores e em caminho de flor ,pessoas que trabalham em flores em um carrinho de flor ,people that work with flowers in a flower cart 
306, Eu definitivamente estou fora da prática escrevendo coisas? Também.,Eu definitivamente estou fora da prática escrevendo coisas? também.,Am I definitely out of practice for writing stuff? For sure., eu definitivamente estou fora da prática escrevendo coisas também ,eu definitivamente estou fora da prática escrevendo coisas também ,am i definitely out of practice for writing stuff for sure 
307, Um grupo de músicos masculinos toca instrumentos incluindo guitarra e bateria.,Um grupo de músicos masculinos toca instrumentos incluindo guitarra e bateria.,"A group of male musicians play instruments, including guitar and drums.", um grupo de músicos masculinos toca instrumentos incluindo guitarra e bateria ,um grupo de músicos masculinos toca instrumentos incluindo guitarra e bateria ,a group of male musicians play instruments including guitar and drums 
308, Como eu antes.,Como eu antes,As I was before., como eu antes ,como eu antes,as i was before 
309, Não deixe que ele coma muitos morangos.,Não deixe que ele coma muitos morangos.,Don't let him eat too many strawberries., não deixe que ele coma muitos morangos ,não deixe que ele coma muitos morangos ,don t let him eat too many strawberries 
310, O amor exigia que ficassem com as pessoas que amavam.,O amor exigia que ficassem com as pessoas que amavam.,Love demanded that they stay with the their loved ones., o amor exigia que ficassem com as pessoas que amavam ,o amor exigia que ficassem com as pessoas que amavam ,love demanded that they stay with the their loved ones 
311, Eu preciso de uma faca no meu rosto.,Eu preciso de uma faca no meu rosto.,I need a knife on my face., eu preciso de uma faca no meu rosto ,eu preciso de uma faca no meu rosto ,i need a knife on my face 
312, Você não quer que eu fique?,Você não quer que eu fique?,Do you want me to stay?, você não quer que eu fique ,você não quer que eu fique ,do you want me to stay 
313, Um cientista em uma bata de laboratório está usando um microscópio.,Um cientista em uma bata de laboratório está usando um microscópio.,A scientist in a lab coat is using a microscope., um cientista em uma bata de laboratório está usando um microscópio ,um cientista em uma bata de laboratório está usando um microscópio ,a scientist in a lab coat is using a microscope 
314," Jovem de blusa branca, shorts azuis compridos, jogando ténis.",Jovem de blusa branca? shorts azuis compridos? jogando tênis.,A young man in a white shirt? Playing tennis wearing long blue shorts?, jovem de blusa branca shorts azuis compridos jogando ténis ,jovem de blusa branca shorts azuis compridos jogando tênis ,a young man in a white shirt playing tennis wearing long blue shorts 
315, Eu tenho uma casa em Lusó.,Eu tenho uma casa em Luzhou.,I have a house in Luzhou., eu tenho uma casa em lusó ,eu tenho uma casa em luzhou ,i have a house in luzhou 
316, Talvez vocês estejam assim espancados.,Talvez você esteja sendo espancado.,Perhaps you are being beaten., talvez vocês estejam assim espancados ,talvez você esteja sendo espancado ,perhaps you are being beaten 
317, Qualquer um pode fazer isso. Eu vi.,"Qualquer um pode fazer isso, ele disse.","Anyone can do that, he said.", qualquer um pode fazer isso eu vi ,qualquer um pode fazer isso ele disse ,anyone can do that he said 
318, Acho que eles perceberam que nada deveria ser feito no momento.,Acho que eles perceberam que nada deveria ser feito no momento.,I think they realized that nothing should be done at the moment., acho que eles perceberam que nada deveria ser feito no momento ,acho que eles perceberam que nada deveria ser feito no momento ,i think they realized that nothing should be done at the moment 
319, Homem de pé enquanto usava um capacete.,Homem de pé enquanto usava um capacete.,A man standing while wearing a helmet., homem de pé enquanto usava um capacete ,homem de pé enquanto usava um capacete ,a man standing while wearing a helmet 
320, Poucas palavras e muitos atos.,Poucas palavras e muitos atos.,Few words and many actions., poucas palavras e muitos atos ,poucas palavras e muitos atos ,few words and many actions 
321, Não pare de ler esse livro por nada!,Não pare de ler esse livro por nada!,Don't stop reading this book for nothing!, não pare de ler esse livro por nada ,não pare de ler esse livro por nada ,don t stop reading this book for nothing 
322, O leitor só precisa saber o que faz.,O leitor só precisa saber o que faz.,The reader just needs to know what he does., o leitor só precisa saber o que faz ,o leitor só precisa saber o que faz ,the reader just needs to know what he does 
323, Dois casais estão sentados em uma mesa de piquenique em um cenário de parque.,Dois casais estão sentados em uma mesa de piquenique em um cenário de parque.,Two couples are sitting at a picnic table in a park setting., dois casais estão sentados em uma mesa de piquenique em um cenário de parque ,dois casais estão sentados em uma mesa de piquenique em um cenário de parque ,two couples are sitting at a picnic table in a park setting 
324, Um jovem rapaz praticando artes marciais.,Um jovem rapaz praticando artes marciais.,A young boy practicing martial arts., um jovem rapaz praticando artes marciais ,um jovem rapaz praticando artes marciais ,a young boy practicing martial arts 
325, brevemente.,Brevemente,Coming soon., brevemente ,brevemente,coming soon 
326, North City está servindo a Taipei Youth Career Development Center.,North City está servindo a Taipei Youth Career Development Center,North City is providing the Taipei Youth Career Development Center., north city está servindo a taipei youth career development center ,north city está servindo a taipei youth career development center,north city is providing the taipei youth career development center 
327, Agora será com esperança.,Agora será com esperança.,Now it will be with hope., agora será com esperança ,agora será com esperança ,now it will be with hope 
328, Lembre-se que há um segundo ano fora.,Lembre-se que há um segundo ano fora,Remember that there is a second year., lembre se que há um segundo ano fora ,lembre se que há um segundo ano fora,remember that there is a second year 
329, Você é a maior pessoa da cidade.,Você é a maior pessoa da cidade!,You are the greatest person in town!, você é a maior pessoa da cidade ,você é a maior pessoa da cidade ,you are the greatest person in town 
330, Será mais frio no Texas,Será mais frio no Texas?,Will be colder in Texas?, será mais frio no texas,será mais frio no texas ,will be colder in texas 
331," Bom, você consegue se lembrar de alguma coisa?",Você consegue se lembrar de alguma coisa?,Can you remember anything?, bom você consegue se lembrar de alguma coisa ,você consegue se lembrar de alguma coisa ,can you remember anything 
332, O gato sentou-se na cerca.,O gato sentou-se na cerca.,The cat sat on the fence., o gato sentou se na cerca ,o gato sentou se na cerca ,the cat sat on the fence 
333, Tenha melhores alunos e ex-alunos.,Tenha melhores alunos e ex-alunos,Have the best students and the best alumni., tenha melhores alunos e ex alunos ,tenha melhores alunos e ex alunos,have the best students and the best alumni 
334, Os catalisadores possibilitam reações químicas em baixas temperaturas.,Os catalisadores possibilitam reações químicas em baixas temperaturas.,Catalysts enable chemical reactions at low temperatures., os catalisadores possibilitam reações químicas em baixas temperaturas ,os catalisadores possibilitam reações químicas em baixas temperaturas ,catalysts enable chemical reactions at low temperatures 
335, Eu sabia que você acordaria mais cedo ou mais tarde.,Eu sabia que você acordaria mais cedo ou mais tarde!,I knew you would wake up sooner or later!, eu sabia que você acordaria mais cedo ou mais tarde ,eu sabia que você acordaria mais cedo ou mais tarde ,i knew you would wake up sooner or later 
336, Você não é capaz disto.,Você não é capaz disto,You are not capable of that., você não é capaz disto ,você não é capaz disto,you are not capable of that 
337, Scanners com alimentadores automáticos de documentos realmente existem.,Scanners com alimentadores automáticos de documentos realmente existem.,Scanners with automatic document feeders do exist., scanners com alimentadores automáticos de documentos realmente existem ,scanners com alimentadores automáticos de documentos realmente existem ,scanners with automatic document feeders do exist 
338, Então você vai morrer no meio de tentar perceber o seu destino.,Então você vai morrer no meio de tentar perceber o seu destino.,So you will die trying to find your destiny., então você vai morrer no meio de tentar perceber o seu destino ,então você vai morrer no meio de tentar perceber o seu destino ,so you will die trying to find your destiny 
339, Ele nos fez ficar de pé e vê-lo pintar por uma hora.,Ele nos fez ficar de pé e vê-lo pintar por uma hora.,He made us stand and watch him paint for an hour., ele nos fez ficar de pé e vê lo pintar por uma hora ,ele nos fez ficar de pé e vê lo pintar por uma hora ,he made us stand and watch him paint for an hour 
340, Foi essa a pergunta retórica?,Foi essa pergunta retórica?,Is this rhetorical question?, foi essa a pergunta retórica ,foi essa pergunta retórica ,is this rhetorical question 
341, O tempo devia estar em algum lugar por volta das 6 horas.,O tempo devia estar em algum lugar por volta das seis horas.,The time must be somewhere around six hours., o tempo devia estar em algum lugar por volta das 6 horas ,o tempo devia estar em algum lugar por volta das seis horas ,the time must be somewhere around six hours 
342," De noite, o alarme despertou de um sono profundo.","De noite, o alarme despertou-o de um sono profundo.","At night, the alarm woke him from a deep sleep.", de noite o alarme despertou de um sono profundo ,de noite o alarme despertou o de um sono profundo ,at night the alarm woke him from a deep sleep 
343," D, Altair Zanion, uma classificação de 2 em 6.",Dê ao Chater's Annual uma classificação de dois em seis.,Give the Chater's Annual a two out of six rate., d altair zanion uma classificação de 2 em 6 ,dê ao chater s annual uma classificação de dois em seis ,give the chater s annual a two out of six rate 
344, A fronteira era fortemente vigiada.,A fronteira era fortemente vigiada.,The border was heavily guarded., a fronteira era fortemente vigiada ,a fronteira era fortemente vigiada ,the border was heavily guarded 
345, Todo o escritório foi atingido por um silêncio ensurdecedor.,Todo o escritório foi atingido por um silêncio ensurdecedor.,The entire office was filled with deafening silence., todo o escritório foi atingido por um silêncio ensurdecedor ,todo o escritório foi atingido por um silêncio ensurdecedor ,the entire office was filled with deafening silence 
346, A fita vermelha ligava a comida contrabandeada.,A fita vermelha ligava a comida contrabandeada.,The red ribbon tied the smuggled food., a fita vermelha ligava a comida contrabandeada ,a fita vermelha ligava a comida contrabandeada ,the red ribbon tied the smuggled food 
347," Viver juntos significa viver juntos, compartilhar objetivos, ter um bom relacionamento.","Viver juntos significa viver juntos, compartilhar objetivos e ter um bom relacionamento.",Living together means sharing goals and having a good relationship., viver juntos significa viver juntos compartilhar objetivos ter um bom relacionamento ,viver juntos significa viver juntos compartilhar objetivos e ter um bom relacionamento ,living together means sharing goals and having a good relationship 
348, O homem fica segurando um instrumento de cordas.,Um homem fica segurando um instrumento de cordas.,A man is holding a stringed instrument., o homem fica segurando um instrumento de cordas ,um homem fica segurando um instrumento de cordas ,a man is holding a stringed instrument 
349, O que você pensa?,O que você fez?,What have you done?, o que você pensa ,o que você fez ,what have you done 
350," Aqui também é outro estágio importante da minha vida, também começarinho.",Aqui também outro estágio importante da minha vida também começaria.,Another important stage of my life would also begin here., aqui também é outro estágio importante da minha vida também começarinho ,aqui também outro estágio importante da minha vida também começaria ,another important stage of my life would also begin here 
351, Negros falando no mercado.,Negros falando no mercado.,Black people talking in the market., negros falando no mercado ,negros falando no mercado ,black people talking in the market 
352, A terceira onda de revolução industrial.,A terceira onda de revolução industrial,The third wave of industrial revolution., a terceira onda de revolução industrial ,a terceira onda de revolução industrial,the third wave of industrial revolution 
353, Duas mulheres em vestidos brancos estão passando por uma foto de pessoas jogando golfe.,Duas mulheres em vestidos brancos estão passando por uma foto de pessoas jogando golfe.,Two women in white dresses are looking at a picture of people playing golf., duas mulheres em vestidos brancos estão passando por uma foto de pessoas jogando golfe ,duas mulheres em vestidos brancos estão passando por uma foto de pessoas jogando golfe ,two women in white dresses are looking at a picture of people playing golf 
354, Michael abriu um navegador e navegou para um mecanismo de pesquisa anônimo.,Michael abriu um navegador e navegou para um mecanismo de pesquisa anônimo.,Michael opened the browser and navigated through an anonymous search engine., michael abriu um navegador e navegou para um mecanismo de pesquisa anônimo ,michael abriu um navegador e navegou para um mecanismo de pesquisa anônimo ,michael opened the browser and navigated through an anonymous search engine 
355, Parecia que estavas chateada comigo.,Parecia que estavas chateada comigo.,It looked like you were upset with me., parecia que estavas chateada comigo ,parecia que estavas chateada comigo ,it looked like you were upset with me 
356, Motocicletas estão estacionadas atrás de uma cerca em uma rua movimentada.,Motocicletas estão estacionadas atrás de uma cerca em uma rua movimentada.,Motorcycles are parked on a busy street behind a fence., motocicletas estão estacionadas atrás de uma cerca em uma rua movimentada ,motocicletas estão estacionadas atrás de uma cerca em uma rua movimentada ,motorcycles are parked on a busy street behind a fence 
357," Um homem cozinha frango na churrasqueira, enquanto outros gostam de comida ao fundo.",Um homem cozinha frango na churrasqueira enquanto outros gostam de comida ao fundo.,A man cooks chicken on the grill while the others enjoy the food in the backyard., um homem cozinha frango na churrasqueira enquanto outros gostam de comida ao fundo ,um homem cozinha frango na churrasqueira enquanto outros gostam de comida ao fundo ,a man cooks chicken on the grill while the others enjoy the food in the backyard 
358," Uma mulher em um chapéu negro, em pé atrás de um carrinho de boneca.",Uma mulher em um chapéu negro em pé atrás de um carrinho de boneca.,A woman with a black hat standing behind a doll stroller., uma mulher em um chapéu negro em pé atrás de um carrinho de boneca ,uma mulher em um chapéu negro em pé atrás de um carrinho de boneca ,a woman with a black hat standing behind a doll stroller 
359, Bebê tirando uma soneca no verso,Bebê tirando uma soneca no berço.,Baby taking a nap in the crib., bebê tirando uma soneca no verso,bebê tirando uma soneca no berço ,baby taking a nap in the crib 
360, Por que você diz isso?,Por que você diz isso?,Why do you say that?, por que você diz isso ,por que você diz isso ,why do you say that 
361, Uma criança regar plantas em um quintal.,uma criança regar plantas em um quintal,A child is watering the plants in the backyard., uma criança regar plantas em um quintal ,uma criança regar plantas em um quintal,a child is watering the plants in the backyard 
362, Uma mãe e seus dois filhos sentam-se para descansar.,Uma mãe e seus dois filhos sentam-se para descansar,A mother and her two children sit down to rest., uma mãe e seus dois filhos sentam se para descansar ,uma mãe e seus dois filhos sentam se para descansar,a mother and her two children sit down to rest 
363, Crianças e adultos nadam na grande piscina com escada vermelha.,Crianças e adultos nadam na grande piscina com escada vermelha,Children and adults swim in the large pool with a red ladder., crianças e adultos nadam na grande piscina com escada vermelha ,crianças e adultos nadam na grande piscina com escada vermelha,children and adults swim in the large pool with a red ladder 
364, Classifique o zero ponto de conflito de visões.,Classifique um zero ponto de conflito de visões,Rate a point of view with zero conflict., classifique o zero ponto de conflito de visões ,classifique um zero ponto de conflito de visões,rate a point of view with zero conflict 
365, O homem está empurrando seu carrinho de lanche pintado de azul pela rua.,Um homem está empurrando seu carrinho de lanche pintado de azul pela rua.,A man is pushing his blue-painted snack cart down the street., o homem está empurrando seu carrinho de lanche pintado de azul pela rua ,um homem está empurrando seu carrinho de lanche pintado de azul pela rua ,a man is pushing his blue painted snack cart down the street 
366, Eu preciso de mais um.,Eu preciso de mais um.,I need one more., eu preciso de mais um ,eu preciso de mais um ,i need one more 
367, Um garoto salta uma pedra em um riacho.,Um garoto salta uma pedra em um riacho.,A boy jumps from the rock into a stream., um garoto salta uma pedra em um riacho ,um garoto salta uma pedra em um riacho ,a boy jumps from the rock into a stream 
368, As pessoas andam por um caminho em uma aldeia na Índia.,As pessoas andam por um caminho em uma aldeia na Índia.,People walk through a village path in India., as pessoas andam por um caminho em uma aldeia na índia ,as pessoas andam por um caminho em uma aldeia na índia ,people walk through a village path in india 
369, Duas raparigas que prendem em retratos de uma preguiça em uma multidão dos povos.,Duas raparigas que prendem retratos de uma preguiça em uma multidão dos povos.,Two young girls are holding pictures of a sloth in the middle of the crowd., duas raparigas que prendem em retratos de uma preguiça em uma multidão dos povos ,duas raparigas que prendem retratos de uma preguiça em uma multidão dos povos ,two young girls are holding pictures of a sloth in the middle of the crowd 
370," Aparentemente, são os bolinhos que fazem com que o ensopado seja tão bom.","Aparentemente, são os bolinhos que fazem com que o ensopado seja tão bom.","Apparently, the dumplings that make the stew so good.", aparentemente são os bolinhos que fazem com que o ensopado seja tão bom ,aparentemente são os bolinhos que fazem com que o ensopado seja tão bom ,apparently the dumplings that make the stew so good 
371," Por favor, carteiro.","Por favor, carteiro.","Please, postman.", por favor carteiro ,por favor carteiro ,please postman 
372, Encontre os horários dos filmes no Bowtie Cinemas.,Encontre os horários dos filmes no Bow Tie Cinemas.,Find movie times at Bow Tie Cinemas., encontre os horários dos filmes no bowtie cinemas ,encontre os horários dos filmes no bow tie cinemas ,find movie times at bow tie cinemas 
373, Eu mesmo não ouvi nada disso.,Eu mesmo não ouvi nada disso.,I didn't hear any of that., eu mesmo não ouvi nada disso ,eu mesmo não ouvi nada disso ,i didn t hear any of that 
374, Não organize tudo o que é difícil de fazer.,Não organize tudo o que é difícil de fazer.,Don't organize what is difficult to do., não organize tudo o que é difícil de fazer ,não organize tudo o que é difícil de fazer ,don t organize what is difficult to do 
375, Ninguém sabe disso.,Ninguém sabe disso,No one knows that., ninguém sabe disso ,ninguém sabe disso,no one knows that 
376, Eu tenho procurado por toda a cidade tentando encontrar você.,Eu tenho procurado por toda a cidade tentando encontrar você.,I've been looking all over the city trying to find you., eu tenho procurado por toda a cidade tentando encontrar você ,eu tenho procurado por toda a cidade tentando encontrar você ,i ve been looking all over the city trying to find you 
377, Homem que trabalha no andame no local de trabalho da construção.,Homem que trabalha no andaime no local de trabalho da construção.,A man is working on scaffolding at the construction workplace., homem que trabalha no andame no local de trabalho da construção ,homem que trabalha no andaime no local de trabalho da construção ,a man is working on scaffolding at the construction workplace 
378, Nós pedimos uma pizza.,Nós pedimos uma pizza?,Did we order a pizza?, nós pedimos uma pizza ,nós pedimos uma pizza ,did we order a pizza 
379," Mãe de mãe e filha, prato de cobre","Mãe de mãe e filha, prato de cobre.",As mother as daughter., mãe de mãe e filha prato de cobre,mãe de mãe e filha prato de cobre ,as mother as daughter 
380, O motorista de carro de corrida está segurando um troféu.,Um motorista de carro de corrida está segurando um troféu.,A race car driver is holding a trophy., o motorista de carro de corrida está segurando um troféu ,um motorista de carro de corrida está segurando um troféu ,a race car driver is holding a trophy 
381," De acordo com o sinal, sem estacionamento hoje por causa da filmagem do filme.",De acordo com o sinal? sem estacionamento hoje por causa da filmagem do filme.,According to the signal? No parking today because of the shooting of the film., de acordo com o sinal sem estacionamento hoje por causa da filmagem do filme ,de acordo com o sinal sem estacionamento hoje por causa da filmagem do filme ,according to the signal no parking today because of the shooting of the film 
382, Um homem de uniforme carregando um arbusto.,Um homem de uniforme carregando um arbusto.,A man in uniform is carrying a bush., um homem de uniforme carregando um arbusto ,um homem de uniforme carregando um arbusto ,a man in uniform is carrying a bush 
383, Há cinco meninos girando em um merry-go-round.,Há cinco meninos girando em um merrygoround.,There are five boys spinning around in a merry-go-round., há cinco meninos girando em um merry go round ,há cinco meninos girando em um merrygoround ,there are five boys spinning around in a merry go round 
384, Serviço de emprego da cidade de Taipei,Serviço de Emprego da Cidade de Taipei,Taipei City’s Employment Service., serviço de emprego da cidade de taipei,serviço de emprego da cidade de taipei,taipei city s employment service 
385, A fofoca está terminada. Abra a honra.,"A fofoca está terminada, abra a honra!","The gossip is over, forget your honor!", a fofoca está terminada abra a honra ,a fofoca está terminada abra a honra ,the gossip is over forget your honor 
386, Este é um menino e seu pai jogando um jogo de tabuleiro.,Este é um menino e seu pai jogando um jogo de tabuleiro.,These are a boy and his father playing a board game., este é um menino e seu pai jogando um jogo de tabuleiro ,este é um menino e seu pai jogando um jogo de tabuleiro ,these are a boy and his father playing a board game 
387, Embora não seja concluído.,Embora não seja concluído,Although it's not completed., embora não seja concluído ,embora não seja concluído,although it s not completed 
388, Parece que ela pode manter Kati na ponta dos pés.,Parece que ela pode manter Kathy na ponta dos pés.,It looks like she kept Kathy on tiptoe., parece que ela pode manter kati na ponta dos pés ,parece que ela pode manter kathy na ponta dos pés ,it looks like she kept kathy on tiptoe 
389, O casal jovem trajes formais de mãos dadas.,Casal jovem em trajes formais de mãos dadas,Young couple in formalwear holding hands., o casal jovem trajes formais de mãos dadas ,casal jovem em trajes formais de mãos dadas,young couple in formalwear holding hands 
390, Como vai ser o tempo? O vigésimo terceiro na cidade de Valor.,Como vai ser o tempo? o vigésimo terceiro na cidade de Valor,How will be the weather? Up to twenty-three., como vai ser o tempo o vigésimo terceiro na cidade de valor ,como vai ser o tempo o vigésimo terceiro na cidade de valor,how will be the weather up to twenty three 
391, Uma criança brincando em uma scooter vermelha.,Uma criança brincando em uma scooter vermelha.,A child playing on a red scooter., uma criança brincando em uma scooter vermelha ,uma criança brincando em uma scooter vermelha ,a child playing on a red scooter 
392, Precisa encontrar o livro chamado Hollywood Connection.,Precisa encontrar o livro chamado Hollywood Connection,Need to find a book named Hollywood Connection., precisa encontrar o livro chamado hollywood connection ,precisa encontrar o livro chamado hollywood connection,need to find a book named hollywood connection 
393, A menina mais velha está rindo e segurando a menina mais nova fora.,A menina mais velha está rindo e segurando a menina mais nova fora,The older girl is laughing and holding the younger girl outside., a menina mais velha está rindo e segurando a menina mais nova fora ,a menina mais velha está rindo e segurando a menina mais nova fora,the older girl is laughing and holding the younger girl outside 
394, Uma lista de nomes é esculpida em torno da base.,Uma lista de nomes é esculpida em torno da base.,A list of names is being carved around the base., uma lista de nomes é esculpida em torno da base ,uma lista de nomes é esculpida em torno da base ,a list of names is being carved around the base 
395, Onde está a cabra velha?,Onde está a cabra velha?,Where's the old goat?, onde está a cabra velha ,onde está a cabra velha ,where s the old goat 
396," De lá, ele pode ver a África à distância.","De lá,? ele pôde ver a África à distância.",From there? He could see Africa at a distance., de lá ele pode ver a áfrica à distância ,de lá ele pôde ver a áfrica à distância ,from there he could see africa at a distance 
397, Dois meninos pequenos jogam em um carrinho de compras em um estacionamento.,Dois meninos pequenos jogam em um carrinho de compras em um estacionamento.,Two small boys play inside of a shopping cart in a parking lot., dois meninos pequenos jogam em um carrinho de compras em um estacionamento ,dois meninos pequenos jogam em um carrinho de compras em um estacionamento ,two small boys play inside of a shopping cart in a parking lot 
